,Unnamed: 0,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
51,51,Single Family Residence,"$14,022",4079 sqft,Yes,"$1,345",R2579180,,Residential,1925.0,,"1323 W 26th Ave, Vancouver, BC",4.0,4.0,0.0,09/05/2021,"$5,488,000",30/05/2021,"$5,000,000"
52,52,Single Family Residence,"$9,229",2600 sqft,No,$922,R2829021,,Residential,1930.0,,"2636 W 41st Ave, Vancouver, BC",4.0,9.0,3.0,29/10/2023,"$2,398,000",22/11/2023,"$2,280,000"
53,53,Single Family Residence,"$9,146",3963 sqft,No,"$1,107",R2544831,,Residential,2020.0,,"4083 W 18th Ave, Vancouver, BC",8.0,7.0,1.0,01/03/2021,"$4,390,000",29/05/2021,"$4,000,000"
54,54,Single Family Residence,"$5,151",830 sqft,No,"$1,816",R2583800,,Residential,1958.0,,"850 E 38th Ave, Vancouver, BC",1.0,2.0,0.0,20/05/2021,"$1,508,000",29/05/2021,"$1,508,000"
55,55,Single Family Residence,"$5,920",3248 sqft,Yes,$796,R2564554,,Residential,2019.0,,"2946 E 26th Ave, Vancouver, BC",5.0,7.0,0.0,11/04/2021,"$2,588,000",29/05/2021,"$2,495,000"
56,56,Single Family Residence,"$4,667",2829 sqft,Yes,$529,R2583407,,Residential,2005.0,,"4799 W 2 Nd Ave, Vancouver, BC",4.0,6.0,0.0,19/05/2021,"$1,499,000",31/05/2021,"$1,539,000"
57,57,Single Family Residence,"$5,455",2730 sqft,Yes,$622,R2584492,,Residential,1925.0,,"2803 Trinity St, Vancouver, BC",2.0,4.0,0.0,24/05/2021,"$1,699,000",31/05/2021,"$1,958,000"
58,58,Single Family Residence,"$5,321",2023 sqft,Yes,$740,R2585933,,Residential,2011.0,,"4927 Chatham St, Vancouver, BC",4.0,8.0,0.0,26/05/2021,"$1,499,000",31/05/2021,"$1,599,000"
59,59,Single Family Residence,"$5,245",1900 sqft,Yes,$777,R2585442,,Residential,1946.0,,"2465 E 23rd Ave, Vancouver, BC",2.0,4.0,0.0,25/05/2021,"$1,478,000",31/05/2021,"$1,598,000"
60,60,Single Family Residence,"$51,708",8506 sqft,Yes,"$1,162",R2549915,,Residential,2013.0,,"1588 W 54th Ave, Vancouver, BC",8.0,7.0,0.0,10/03/2021,"$9,888,888",31/05/2021,"$8,800,000"
61,61,Townhouse,"$2,188",863 sqft,Yes,"$1,041",R2590394,,Residential,1995.0,,"2545 W Broadway, Vancouver, BC",2.0,2.0,0.0,07/06/2021,"$899,000",13/06/2021,"$925,000"
62,62,Single Family Residence,"$6,992",1651 sqft,Yes,"$1,210",R2584222,,Residential,1910.0,,"2175 W 13th Ave, Vancouver, BC",2.0,3.0,0.0,24/05/2021,"$1,998,000",31/05/2021,"$1,850,000"
63,63,Multi Family,"$3,788",1242 sqft,Yes,$965,R2584459,,Residential,2011.0,,"4236 Inverness St, Vancouver, BC",2.0,3.0,0.0,24/05/2021,"$1,199,000",31/05/2021,"$1,325,000"
64,64,Townhouse,,1449 sqft,Yes,"$1,371",R2584601,,Residential,2020.0,,"116 W 14th Ave, Vancouver, BC",2.0,3.0,0.0,20/05/2021,"$1,988,000",02/06/2021,"$1,890,000"
65,65,Multi Family,"$4,445",1500 sqft,Yes,$866,R2587822,,Residential,2005.0,,"1885 E 13th Ave, Vancouver, BC",3.0,4.0,0.0,31/05/2021,"$1,299,000",02/06/2021,"$1,335,000"
66,66,Single Family Residence,"$4,854",1702 sqft,No,$910,R2582901,,Residential,1946.0,,"5186 Somerville St, Vancouver, BC",2.0,4.0,0.0,16/05/2021,"$1,550,000",02/06/2021,"$1,475,000"
67,67,Single Family Residence,"$4,921",2336 sqft,Yes,$658,R2584858,,Residential,1963.0,,"5942 Clarendon St, Vancouver, BC",2.0,4.0,0.0,24/05/2021,"$1,538,000",02/06/2021,"$1,585,000"
68,68,Townhouse,"$2,788",1201 sqft,Yes,"$1,082",R2585740,,Residential,1996.0,,"2305 W 10th Ave, Vancouver, BC",2.0,2.0,0.0,26/05/2021,"$1,299,900",02/06/2021,"$1,385,000"
69,69,Townhouse,"$2,388",878 sqft,Yes,"$1,024",R2598629,,Residential,1995.0,,"2565 W Broadway, Vancouver, BC",1.0,2.0,0.0,04/07/2021,"$899,800",12/07/2021,"$1,002,000"
70,70,Townhouse,"$3,335",1797 sqft,Yes,$667,R2586971,,Residential,1988.0,,"272 Waterford Dr, Vancouver, BC",2.0,2.0,0.0,30/05/2021,"$1,199,000",02/06/2021,"$1,280,000"
71,71,Single Family Residence,"$6,506",2596 sqft,No,$805,R2585134,,Residential,1927.0,,"3750 W 16th Ave, Vancouver, BC",3.0,7.0,0.0,25/05/2021,"$2,090,000",02/06/2021,"$2,000,001"
72,72,Single Family Residence,"$7,802",2210 sqft,No,"$1,013",R2871006,,Residential,1912.0,,"7849 Birch St, Vancouver, BC",3.0,4.0,0.0,14/04/2024,"$2,239,000",-,Not Sold Yet
73,73,Single Family Residence,"$4,901",2172 sqft,No,$690,R2585313,,Residential,1946.0,,"3061 E 18th Ave, Vancouver, BC",2.0,4.0,0.0,25/05/2021,"$1,499,000",05/06/2021,"$1,455,000"
74,74,Single Family Residence,"$16,859",4139 sqft,Yes,"$1,350",R2574860,,Residential,2015.0,,"2395 W 22nd Ave, Vancouver, BC",5.0,6.0,0.0,02/05/2021,"$5,590,000",05/06/2021,"$5,150,000"
75,75,Single Family Residence,"$6,114",2619 sqft,No,"$1,297",R2588017,,Residential,1912.0,,"1963 W 1st Ave, Vancouver, BC",3.0,6.0,0.0,31/05/2021,"$3,398,000",05/06/2021,"$3,260,000"
76,76,Single Family Residence,"$4,393",2108 sqft,No,$635,R2561461,,Residential,1951.0,,"1716 E 41 St Ave, Vancouver, BC",2.0,7.0,0.0,04/04/2021,"$1,339,800",05/06/2021,"$1,350,000"
77,77,Multi Family,"$5,970",1960 sqft,Yes,"$1,274",R2582404,,Residential,2014.0,,"2150 W 3rd Ave, Vancouver, BC",4.0,4.0,0.0,16/05/2021,"$2,498,000",06/06/2021,"$2,350,000"
78,78,Townhouse,,1257 sqft,Yes,"$1,352",R2558614,,Residential,2020.0,,"3188 Burrard St, Vancouver, BC",2.0,2.0,0.0,28/03/2021,"$1,699,900",05/06/2021,"$1,500,000"
79,79,Single Family Residence,"$6,114",2248 sqft,No,$889,R2586928,,Residential,2003.0,,"859 E 62nd Ave, Vancouver, BC",4.0,6.0,0.0,30/05/2021,"$1,999,000",05/06/2021,"$1,980,000"
80,80,Townhouse,"$7,004",1982 sqft,Yes,"$1,406",R2585864,,Residential,2009.0,,"8 Smithe Mews, Vancouver, BC",2.0,2.0,0.0,26/05/2021,"$2,788,000",07/06/2021,"$2,675,000"
81,81,Multi Family,,1539 sqft,Yes,$992,R2846840,,Residential,2023.0,,"3484 Pandora St, Vancouver, BC",3.0,3.0,1.0,01/02/2024,"$1,528,000",-,-
82,82,Single Family Residence,"$3,125",1482 sqft,No,$943,R2587796,,Residential,9999.0,,"4001 Clark Dr, Vancouver, BC",2.0,3.0,0.0,31/05/2021,"$1,399,000",07/06/2021,"$1,544,000"
83,83,Single Family Residence,"$6,579",2188 sqft,Yes,$904,R2586375,,Residential,1990.0,,"1439 W 64th Ave, Vancouver, BC",3.0,3.0,0.0,25/05/2021,"$1,980,000",07/06/2021,"$2,020,000"
84,84,Townhouse,"$2,024",1132 sqft,Yes,$776,R2589729,,Residential,1986.0,,"1280 W 8th Ave, Vancouver, BC",1.0,2.0,0.0,06/06/2021,"$879,000",07/06/2021,"$905,000"
85,85,Apartment/Condominium,"$1,233",702 sqft,Yes,$712,R2633279,,Residential,1995.0,,"203 - 8430 Jellicoe St, Vancouver, BC",1.0,1.0,1.0,14/11/2021,"$499,900",23/11/2021,"$491,500"
86,86,Single Family Residence,"$6,052",2086 sqft,Yes,$919,R2587921,,Residential,1913.0,,"822 E 22nd Ave, Vancouver, BC",2.0,3.0,0.0,31/05/2021,"$1,919,000",07/06/2021,"$1,921,000"
87,87,Single Family Residence,"$4,175",2193 sqft,No,$820,R2587089,,Residential,1929.0,,"5186 St. Catherines St, Vancouver, BC",2.0,6.0,0.0,30/05/2021,"$1,799,000",07/06/2021,"$1,760,000"
88,88,Single Family Residence,"$8,748",2875 sqft,Yes,$866,R2571281,,Residential,1912.0,,"2159 W 45th Ave, Vancouver, BC",2.0,4.0,0.0,25/04/2021,"$2,490,000",09/06/2021,"$2,410,000"
89,89,Multi Family,,1500 sqft,No,"$1,125",R2836811,,Residential,2023.0,,"1174 E 26th Ave, Vancouver, BC",3.0,3.0,1.0,07/12/2023,"$1,688,800",08/01/2024,"$1,625,000"
90,90,Single Family Residence,"$5,690",1926 sqft,Yes,"$1,032",R2587159,,Residential,2007.0,,"372 E 34th Ave, Vancouver, BC",3.0,3.0,0.0,30/05/2021,"$1,988,000",08/06/2021,"$2,340,000"
91,91,Multi Family,,2033 sqft,No,$757,R2583071,,Residential,2021.0,,"2725 Duke St, Vancouver, BC",3.0,4.0,0.0,18/05/2021,"$1,539,900",09/06/2021,"$1,380,900"
92,92,Single Family Residence,"$5,862",2244 sqft,Yes,$712,R2584291,,Residential,2002.0,,"3423 E 5th Ave, Vancouver, BC",3.0,5.0,0.0,24/05/2021,"$1,599,000",09/06/2021,"$1,650,000"
93,93,Apartment/Condominium,,579 sqft,Yes,"$1,379",R2589382,,Residential,2021.0,,"M310 - 5681 Birney Ave, Vancouver, BC",1.0,1.0,1.0,02/06/2021,"$799,000",09/06/2021,"$820,000"
94,94,Single Family Residence,"$4,713",1782 sqft,Yes,$802,R2579687,,Residential,1935.0,,"4616 Reid St, Vancouver, BC",3.0,4.0,0.0,11/05/2021,"$1,430,000",09/06/2021,"$1,412,000"
95,95,Single Family Residence,"$9,403",1682 sqft,Yes,"$1,782",R2588461,,Residential,1923.0,,"4641 W 12 Th Ave, Vancouver, BC",2.0,3.0,0.0,01/06/2021,"$2,998,000",09/06/2021,"$3,250,000"
96,96,Single Family Residence,"$6,272",2446 sqft,No,$694,R2583837,,Residential,1975.0,,"468 43 Rd Ave E, Vancouver, BC",2.0,6.0,0.0,20/05/2021,"$1,699,000",11/06/2021,"$1,710,000"
97,97,Single Family Residence,"$7,546",2863 sqft,Yes,$803,R2591127,,Residential,1985.0,,"668 E 29th Ave, Vancouver, BC",4.0,6.0,0.0,08/06/2021,"$2,300,000",10/06/2021,"$2,180,000"
98,98,Single Family Residence,"$31,157",4268 sqft,Yes,"$1,639",R2591630,,Residential,1926.0,,"1650 Avondale Ave, Vancouver, BC",2.0,4.0,0.0,09/06/2021,"$6,998,000",10/06/2021,"$7,000,000"
99,99,Single Family Residence,"$4,821",1970 sqft,Yes,$507,R2550204,,Residential,1912.0,,"4016 Rupert St, Vancouver, BC",2.0,5.0,0.0,06/03/2021,"$999,000",11/06/2021,"$1,330,000"
100,100,Single Family Residence,"$6,557",2822 sqft,Yes,$669,R2580671,,Residential,2002.0,,"3237 Matapan Cres, Vancouver, BC",4.0,6.0,0.0,12/05/2021,"$1,890,000",11/06/2021,"$1,860,000"
101,101,Single Family Residence,"$15,903",3700 sqft,Yes,"$1,427",R2571012,,Residential,1996.0,,"3918 W 12th Ave, Vancouver, BC",4.0,6.0,0.0,20/04/2021,"$5,280,000",10/06/2021,"$5,000,000"
102,102,Single Family Residence,"$7,940",2105 sqft,Yes,"$1,186",R2588846,,Residential,9999.0,,"625 W 22nd Ave, Vancouver, BC",1.0,3.0,0.0,02/06/2021,"$2,498,000",10/06/2021,"$2,380,000"
103,103,Single Family Residence,"$5,605",1888 sqft,Yes,$846,R2585820,,Residential,1910.0,,"636 E 50th Ave, Vancouver, BC",2.0,4.0,0.0,26/05/2021,"$1,599,000",11/06/2021,"$1,580,000"
104,104,Single Family Residence,"$5,893",1910 sqft,No,"$1,858",R2878492,,Residential,1957.0,,"5355 Mckinnon St, Vancouver, BC",2.0,6.0,2.0,30/04/2024,"$3,550,000",-,Not Sold Yet
105,105,Single Family Residence,"$4,798",2384 sqft,No,$534,R2590887,,Residential,1969.0,,"3192 Queens Ave, Vancouver, BC",2.0,3.0,0.0,07/06/2021,"$1,275,000",13/06/2021,"$1,320,000"
106,106,Single Family Residence,"$12,993",3085 sqft,Yes,"$1,774",R2589619,,Residential,2009.0,,"3388 W 1 St Ave, Vancouver, BC",2.0,3.0,0.0,06/06/2021,"$5,475,000",13/06/2021,"$5,200,000"
107,107,Multi Family,"$4,634",3845 sqft,Yes,"$1,037",R2577712,,Residential,2009.0,,"6060 Chancellor Blvd, Vancouver, BC",5.0,5.0,0.0,04/05/2021,"$3,990,000",13/06/2021,"$3,800,000"
108,108,Multi Family,"$4,893",1935 sqft,Yes,$955,R2870669,,Residential,2021.0,,"3586 Trinity St, Vancouver, BC",4.0,4.0,2.0,14/04/2024,"$1,848,000",-,Not Sold Yet
109,109,Multi Family,"$1,859",1044 sqft,No,$957,R2583725,,Residential,2021.0,,"2248 Grant St, Vancouver, BC",2.0,3.0,1.0,19/05/2021,"$999,900",13/06/2021,"$999,900"
110,110,Single Family Residence,"$6,954",3177 sqft,Yes,$692,R2583503,,Residential,1942.0,,"3843 Marine Dr Sw, Vancouver, BC",3.0,6.0,0.0,18/05/2021,"$2,199,988",13/06/2021,"$2,200,000"
111,111,Single Family Residence,"$13,818",5054 sqft,Yes,$866,R2590279,,Residential,2017.0,,"5687 Olympic St, Vancouver, BC",8.0,9.0,0.0,07/06/2021,"$4,380,000",13/06/2021,"$4,380,000"
112,112,Single Family Residence,"$5,674",2304 sqft,No,$637,R2590605,,Residential,1953.0,,"3053 Copley St, Vancouver, BC",4.0,7.0,0.0,06/06/2021,"$1,468,000",14/06/2021,"$1,695,000"
113,113,Single Family Residence,"$5,118",2505 sqft,Yes,$678,R2590125,,Residential,1960.0,,"3076 E 7th Ave, Vancouver, BC",2.0,5.0,0.0,06/06/2021,"$1,699,000",14/06/2021,"$1,840,000"
114,114,Single Family Residence,"$6,101",1729 sqft,No,$982,R2590346,,Residential,1976.0,,"608 Union St, Vancouver, BC",2.0,2.0,0.0,07/06/2021,"$1,699,000",14/06/2021,"$2,055,000"
115,115,Single Family Residence,"$5,887",2433 sqft,Yes,$739,R2589922,,Residential,1993.0,,"6150 Prince Albert St, Vancouver, BC",4.0,4.0,0.0,06/06/2021,"$1,799,000",14/06/2021,"$1,855,000"
116,116,Apartment/Condominium,"$1,612",528 sqft,Yes,"$1,208",R2574331,,Residential,1997.0,,"2008 - 1331 W Georgia St, Vancouver, BC",1.0,1.0,1.0,29/04/2021,"$638,000",14/06/2021,"$615,000"
117,117,Single Family Residence,"$8,094",3059 sqft,No,$800,R2591198,,Residential,1929.0,,"844 E 22nd Ave, Vancouver, BC",3.0,5.0,0.0,08/06/2021,"$2,450,000",14/06/2021,"$2,650,000"
118,118,Townhouse,"$2,603",1025 sqft,Yes,$951,R2589532,,Residential,1984.0,,"1614 Maple St, Vancouver, BC",1.0,2.0,0.0,06/06/2021,"$975,000",14/06/2021,"$1,065,000"
119,119,Single Family Residence,"$17,298",4609 sqft,Yes,"$1,349",R2571886,,Residential,2015.0,,"3308 Trutch St, Vancouver, BC",5.0,6.0,0.0,25/04/2021,"$6,218,181",14/06/2021,"$5,950,000"
120,120,Single Family Residence,"$29,270",6061 sqft,Yes,"$1,267",R2522457,,Residential,2010.0,,"6996 Angus Dr, Vancouver, BC",6.0,6.0,0.0,07/12/2020,"$7,680,000",16/06/2021,"$7,038,000"
121,121,Townhouse,"$3,540",1671 sqft,Yes,$932,R2589359,,Residential,2012.0,,"3178 Pierview Cres, Vancouver, BC",3.0,4.0,0.0,03/06/2021,"$1,558,800",17/06/2021,"$1,480,000"
122,122,Townhouse,"$1,279",748 sqft,Yes,$922,R2591703,,Residential,1979.0,,"719 E 31st Ave, Vancouver, BC",1.0,2.0,0.0,09/06/2021,"$690,000",16/06/2021,"$665,000"
123,123,Single Family Residence,"$13,076",2773 sqft,Yes,"$2,703",R2550251,,Residential,1910.0,,"3642 Cameron Ave, Vancouver, BC",3.0,3.0,0.0,11/03/2021,"$7,498,000",16/06/2021,"$6,490,000"
124,124,Single Family Residence,"$8,578",2494 sqft,Yes,"$1,001",R2590747,,Residential,1944.0,,"2091 W 59th Ave, Vancouver, BC",2.0,6.0,0.0,07/06/2021,"$2,498,000",16/06/2021,"$2,680,000"
