mlsId,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,listingDate,listingPrice
R2903869,1,1,"1768 Cook St, Vancouver, BC, Canada",586.0,1,2261.0,1476.0,2021.0,Condo,08/07/2024,865000.0
R2903840,2,2,"8 Smithe Mews, Vancouver, BC, Canada",1229.0,2,5222.0,1708.0,2008.0,Condo,08/07/2024,2100000.0
R2904038,2,1,"231 E Pender St, Vancouver, BC, Canada",850.0,1,2077.0,938.0,2016.0,Condo,08/07/2024,798000.0
R2903978,1,1,"108 1St Ave W, Vancouver, BC, Canada",438.0,1,1652.0,1415.0,2013.0,Condo,08/07/2024,619900.0
R2904090,1,1,"5928 Birney Ave, Vancouver, BC, Canada",680.0,1,1253.0,1027.0,2010.0,Condo,08/07/2024,699000.0
R2903843,2,2,"3533 Ross Dr, Vancouver, BC, Canada",933.0,1,2127.0,1337.0,2020.0,Condo,08/07/2024,1248000.0
R2904627,4,3,"6447 Beatrice St, Vancouver, BC, Canada",1174.0,2,3726.0,1224.0,2023.0,MultiFamily,08/07/2024,1438000.0
R2903897,5,3,"5595 Earles St, Vancouver, BC, Canada",2025.0,3,1.0,814.0,2024.0,MultiFamily,08/07/2024,1649900.0
R2903682,2,2,"332 W 62nd Ave, Vancouver, BC, Canada",1223.0,1,3643.0,1061.0,2017.0,Townhouse,08/07/2024,1298800.0
R2904023,3,2,"3520 Crowley Dr, Vancouver, BC, Canada",1043.0,1,2275.0,862.0,2001.0,Condo,08/07/2024,899800.0
R2903568,2,2,"546 Beatty St, Vancouver, BC, Canada",1035.0,1,3335.0,1033.0,2008.0,Condo,08/07/2024,1070000.0
R2904484,2,1,"853 E 7th Ave, Vancouver, BC, Canada",874.0,1,2217.0,858.0,1976.0,Condo,08/07/2024,750000.0
R2904025,2,1,"620 Cardero St, Vancouver, BC, Canada",725.0,1,3253.0,1724.0,2020.0,Condo,08/07/2024,1249900.0
R2903825,5,4,"4350 Miller St, Vancouver, BC, Canada",1941.0,4,5692.0,1030.0,2018.0,SingleFamily,08/07/2024,2000000.0
R2903537,1,1,"938 Beatty St, Vancouver, BC, Canada",1110.0,1,3951.0,1441.0,2005.0,Townhouse,08/07/2024,1599900.0
R2904622,2,1,"1958 E 47Th Ave, Vancouver, BC, Canada",811.0,1,1506.0,725.0,1996.0,Condo,08/07/2024,588000.0
R2903636,1,1,"8138 Fraser St, Vancouver, BC, Canada",658.0,1,1944.0,1063.0,2021.0,Condo,08/07/2024,699999.0
R2904103,1,1,"821 Cambie St, Vancouver, BC, Canada",604.0,1,1974.0,1192.0,2008.0,Condo,08/07/2024,720000.0
R2903853,4,2,"6010 Granville St, Vancouver, BC, Canada",3151.0,3,11348.0,1141.0,1930.0,SingleFamily,08/07/2024,3598000.0
R2903918,5,3,"5597 Earles St, Vancouver, BC, Canada",2025.0,3,1.0,888.0,2024.0,MultiFamily,08/07/2024,1798800.0
R2904304,2,2,"7777 Cambie St, Vancouver, BC, Canada",885.0,1,3056.0,1195.0,2021.0,Condo,08/07/2024,1058000.0
R2904301,2,2,"1833 Crowe St, Vancouver, BC, Canada",1025.0,1,3000.0,974.0,2009.0,Condo,08/07/2024,998900.0
R2904561,1,1,"1889 Alberni St, Vancouver, BC, Canada",443.0,0,1521.0,1577.0,1998.0,Condo,07/07/2024,699000.0
R2902949,1,1,"8131 Nunavut Lane, Vancouver, BC, Canada",452.0,0,1593.0,1298.0,2016.0,Condo,07/07/2024,587000.0
R2903261,1,1,"1420 W Georgia St, Vancouver, BC, Canada",560.0,1,1994.0,1205.0,2002.0,Condo,07/07/2024,675000.0
R2904115,3,1,"2790 William St, Vancouver, BC, Canada",1497.0,1,6415.0,1235.0,1942.0,SingleFamily,07/07/2024,1850000.0
R2904650,4,2,"4755 Slocan St, Vancouver, BC, Canada",725.0,2,6206.0,4413.0,1949.0,SingleFamily,07/07/2024,3200000.0
R2903139,5,2,"3659 E 48Th Ave, Vancouver, BC, Canada",2005.0,4,7272.0,947.0,1964.0,SingleFamily,07/07/2024,1900000.0
R2903393,2,2,"723 Union St, Vancouver, BC, Canada",958.0,1,3112.0,1122.0,2014.0,Townhouse,07/07/2024,1075000.0
R2903517,7,2,"3187 Broadway E, Vancouver, BC, Canada",2698.0,2,7358.0,1482.0,1964.0,SingleFamily,07/07/2024,4000000.0
R2903372,3,3,"1283 Howe St, Vancouver, BC, Canada",1628.0,2,7135.0,1473.0,2019.0,Condo,07/07/2024,2399000.0
R2903100,3,3,"3470 W 43rd Ave, Vancouver, BC, Canada",4018.0,7,18123.0,1240.0,1989.0,SingleFamily,07/07/2024,4985000.0
R2903396,4,2,"2947 Mcgill St, Vancouver, BC, Canada",2052.0,2,6349.0,876.0,1951.0,SingleFamily,07/07/2024,1798000.0
R2903899,1,1,"1050 Burrard St, Vancouver, BC, Canada",641.0,1,1958.0,1090.0,1994.0,Condo,07/07/2024,699000.0
R2903221,2,2,"3487 Binning Rd, Vancouver, BC, Canada",906.0,1,1700.0,1103.0,2019.0,Condo,07/07/2024,999900.0
R2903456,1,1,"1088 Richards St, Vancouver, BC, Canada",665.0,1,2222.0,1154.0,2011.0,Condo,07/07/2024,768000.0
R2904117,2,1,"745 Skeena St, Vancouver, BC, Canada",1775.0,2,6094.0,943.0,1930.0,SingleFamily,07/07/2024,1675000.0
R2903287,4,3,"2333 Collingwood St, Vancouver, BC, Canada",2542.0,0,6097.0,742.0,1915.0,SingleFamily,07/07/2024,1888000.0
R2903055,5,3,"2670 E 53Rd Ave, Vancouver, BC, Canada",2272.0,3,7332.0,967.0,1960.0,SingleFamily,07/07/2024,2198000.0
R2903341,2,2,"1050 Smithe St, Vancouver, BC, Canada",910.0,1,2611.0,1043.0,2005.0,Condo,07/07/2024,949800.0
R2902920,4,3,"5444 Clarendon St, Vancouver, BC, Canada",2043.0,2,5428.0,875.0,2015.0,MultiFamily,07/07/2024,1788000.0
R2903475,2,2,"1263 Barclay St, Vancouver, BC, Canada",952.0,1,2948.0,1313.0,1988.0,Condo,07/07/2024,1250000.0
R2903388,2,2,"939 Homer St, Vancouver, BC, Canada",910.0,1,2433.0,1071.0,1997.0,Condo,07/07/2024,975000.0
R2903415,2,1,"3270 W 4Th Ave, Vancouver, BC, Canada",945.0,2,2377.0,952.0,1988.0,Condo,07/07/2024,899800.0
R2903788,5,5,"4203 W 14Th Ave, Vancouver, BC, Canada",3207.0,1,10306.0,1241.0,1997.0,SingleFamily,07/07/2024,3980000.0
R2903248,1,1,"3588 Sawmill Cres, Vancouver, BC, Canada",562.0,1,1488.0,1064.0,2020.0,Condo,07/07/2024,598000.0
R2903229,1,1,"1868 W 5th Ave, Vancouver, BC, Canada",633.0,0,2149.0,1231.0,2001.0,Condo,07/07/2024,779800.0
R2904245,2,2,"1176 W 7th Ave, Vancouver, BC, Canada",2821.0,2,10852.0,1239.0,2005.0,Townhouse,07/07/2024,3498000.0
R2902922,2,1,"33 Smithe St, Vancouver, BC, Canada",800.0,1,2536.0,1099.0,2008.0,Condo,07/07/2024,879900.0
R2903289,2,2,"209 E 7Th Ave, Vancouver, BC, Canada",1295.0,1,3935.0,1235.0,2018.0,Condo,07/07/2024,1599900.0
R2903496,1,1,"2885 Spruce St, Vancouver, BC, Canada",589.0,1,1575.0,1035.0,1978.0,Condo,07/07/2024,610000.0
R2903201,2,2,"3462 Ross Dr, Vancouver, BC, Canada",884.0,1,1756.0,1187.0,2016.0,Condo,07/07/2024,1049900.0
R2903458,1,1,"289 E 6th Ave, Vancouver, BC, Canada",557.0,1,1894.0,1256.0,2015.0,Condo,07/07/2024,699900.0
R2902974,2,2,"2668 Ash St, Vancouver, BC, Canada",1115.0,2,3087.0,1278.0,1989.0,Condo,07/07/2024,1425000.0
R2903603,5,2,"3542 W 16th Ave, Vancouver, BC, Canada",2037.0,2,6387.0,1177.0,1924.0,SingleFamily,07/07/2024,2398000.0
R2903312,2,2,"188 Keefer Pl, Vancouver, BC, Canada",882.0,1,2530.0,1291.0,2009.0,Condo,07/07/2024,1139000.0
R2903281,3,2,"956 10Th Ave E, Vancouver, BC, Canada",1456.0,1,5685.0,1296.0,2018.0,MultiFamily,07/07/2024,1888000.0
R2903447,6,7,"4698 Angus Dr, Vancouver, BC, Canada",6578.0,4,33902.0,863.0,1997.0,SingleFamily,07/07/2024,5680000.0
R2903164,1,1,"2366 Wall St, Vancouver, BC, Canada",650.0,1,1683.0,1073.0,1976.0,Condo,07/07/2024,698000.0
R2903318,2,2,"129 W 1st Ave, Vancouver, BC, Canada",1051.0,1,2897.0,1084.0,2010.0,Townhouse,07/07/2024,1139900.0
R2903277,4,3,"521 Union St, Vancouver, BC, Canada",1547.0,1,7909.0,1098.0,2019.0,SingleFamily,07/07/2024,1699000.0
R2903964,5,4,"3888 W 13Th Ave, Vancouver, BC, Canada",2458.0,0,11933.0,1586.0,1994.0,SingleFamily,07/07/2024,3899000.0
R2902892,4,2,"1534 W 71st Ave, Vancouver, BC, Canada",1801.0,3,7969.0,1110.0,1955.0,SingleFamily,07/07/2024,1999900.0
R2903499,2,1,"1878 Robson St, Vancouver, BC, Canada",1089.0,1,1954.0,779.0,1948.0,Condo,07/07/2024,849000.0
R2903211,0,1,"1503 W 66th Ave, Vancouver, BC, Canada",475.0,1,1171.0,1050.0,1999.0,Condo,07/07/2024,499000.0
R2903112,2,2,"5665 Boundary Rd, Vancouver, BC, Canada",981.0,2,2781.0,996.0,2016.0,Condo,07/07/2024,978000.0
R2902795,2,2,"5928 Birney Ave, Vancouver, BC, Canada",867.0,1,1538.0,1083.0,2010.0,Condo,05/07/2024,939000.0
R2902854,2,1,"3055 Cambie St, Vancouver, BC, Canada",1272.0,1,3012.0,966.0,1992.0,Condo,06/07/2024,1230000.0
R2903383,5,5,"4765 Marguerite St, Vancouver, BC, Canada",4202.0,3,28866.0,1760.0,2021.0,SingleFamily,05/07/2024,7398000.0
R2903145,1,1,"2375 W Broadway, Vancouver, BC, Canada",548.0,1,1738.0,1184.0,1999.0,Townhouse,05/07/2024,649000.0
R2903890,1,1,"2220 Kingsway, Vancouver, BC, Canada",520.0,1,1482.0,1094.0,2018.0,Condo,06/07/2024,569000.0
R2902436,1,1,"1178 Hamilton St, Vancouver, BC, Canada",750.0,1,2535.0,1240.0,1996.0,Condo,04/07/2024,930000.0
R2902552,3,2,"3581 Ross Dr, Vancouver, BC, Canada",1102.0,1,2289.0,1268.0,2018.0,Condo,04/07/2024,1398000.0
R2903142,2,2,"2083 W 33rd Ave, Vancouver, BC, Canada",852.0,0,2720.0,1172.0,2003.0,Condo,04/07/2024,999000.0
R2902538,4,3,"1777 Bayshore Dr, Vancouver, BC, Canada",3046.0,3,21917.0,2298.0,1999.0,Condo,04/07/2024,7000000.0
R2902480,1,1,"2226 W 12Th Ave, Vancouver, BC, Canada",503.0,1,1541.0,1190.0,2005.0,Condo,04/07/2024,599000.0
R2902107,2,2,"36 W 13th Ave, Vancouver, BC, Canada",1171.0,1,3493.0,1023.0,1993.0,Townhouse,03/07/2024,1199000.0
R2902212,1,1,"2330 Maple St, Vancouver, BC, Canada",724.0,1,1759.0,1034.0,1974.0,Condo,03/07/2024,749000.0
R2902567,3,1,"610 E 49th Ave, Vancouver, BC, Canada",1408.0,6,11255.0,2272.0,1942.0,MultiFamily,03/07/2024,3199900.0
R2903156,3,3,"1500 Alberni St, Vancouver, BC, Canada",2425.0,2,6946.0,1051.0,1991.0,Condo,03/07/2024,2550000.0
R2902394,6,5,"142 E 43rd Ave, Vancouver, BC, Canada",2522.0,1,7913.0,1070.0,2021.0,SingleFamily,03/07/2024,2699000.0
R2902459,8,8,"2626 W 35th Ave, Vancouver, BC, Canada",5213.0,2,15261.0,1532.0,2024.0,SingleFamily,03/07/2024,7988000.0
R2902293,0,1,"550 Taylor St, Vancouver, BC, Canada",554.0,1,1585.0,947.0,2005.0,Condo,03/07/2024,525000.0
R2902082,2,2,"2201 Pine St, Vancouver, BC, Canada",1615.0,2,4518.0,989.0,1991.0,Townhouse,03/07/2024,1598000.0
R2902473,2,2,"3355 Binning Rd, Vancouver, BC, Canada",886.0,1,1986.0,1454.0,2016.0,Condo,03/07/2024,1288800.0
R2902521,5,3,"6516 Wiltshire St, Vancouver, BC, Canada",3043.0,2,9184.0,1149.0,1993.0,SingleFamily,03/07/2024,3499000.0
R2901984,1,1,"1295 Richards St, Vancouver, BC, Canada",594.0,0,1699.0,1069.0,2002.0,Condo,03/07/2024,635000.0
R2902464,2,2,"5615 Hampton Pl, Vancouver, BC, Canada",915.0,2,1250.0,938.0,1997.0,Condo,02/07/2024,859000.0
R2902566,6,3,"1448 Lakewood Dr, Vancouver, BC, Canada",2244.0,0,7473.0,779.0,1911.0,SingleFamily,03/07/2024,1749000.0
R2902661,4,5,"7938 Victoria Dr, Vancouver, BC, Canada",3185.0,3,8921.0,841.0,2004.0,SingleFamily,03/07/2024,2680000.0
R2901868,4,4,"1128 W Georgia St, Vancouver, BC, Canada",7299.0,4,81038.0,2738.0,2008.0,Condo,02/07/2024,19988000.0
R2902673,3,2,"3637 W 17th Ave, Vancouver, BC, Canada",1274.0,1,3426.0,1040.0,2004.0,Townhouse,03/07/2024,1325000.0
R2901922,1,1,"610 Granville St, Vancouver, BC, Canada",584.0,1,1866.0,1143.0,2006.0,Condo,03/07/2024,668000.0
R2901741,2,2,"2057 5Th Ave E, Vancouver, BC, Canada",1509.0,1,5472.0,1191.0,1994.0,MultiFamily,03/07/2024,1798000.0
R2901387,2,1,"5092 Main St, Vancouver, BC, Canada",848.0,2,3958.0,4585.0,1948.0,SingleFamily,02/07/2024,3888888.0
R2902036,4,4,"6926 Blenheim St, Vancouver, BC, Canada",3610.0,5,29179.0,1661.0,2003.0,SingleFamily,02/07/2024,5998000.0
R2902190,6,5,"6380 Macdonald St, Vancouver, BC, Canada",7180.0,5,43259.0,1323.0,2003.0,SingleFamily,02/07/2024,9500000.0
R2902544,3,2,"889 Pacific St, Vancouver, BC, Canada",1244.0,2,8825.0,2410.0,2021.0,Condo,02/07/2024,2999000.0
R2901913,4,5,"3850 Point Grey Rd, Vancouver, BC, Canada",5011.0,5,20551.0,1516.0,1952.0,SingleFamily,02/07/2024,7598000.0
R2901420,3,2,"5058 Cambie St, Vancouver, BC, Canada",1325.0,2,6146.0,1704.0,2020.0,Condo,02/07/2024,2258000.0
R2901638,2,2,"888 Hamilton St, Vancouver, BC, Canada",997.0,1,2725.0,1201.0,1993.0,Condo,02/07/2024,1198000.0
R2901722,6,2,"1861 E 40th Ave, Vancouver, BC, Canada",2293.0,2,7819.0,937.0,1961.0,SingleFamily,02/07/2024,2149000.0
R2902222,5,3,"374 E 54th Ave, Vancouver, BC, Canada",1916.0,2,6939.0,991.0,1959.0,SingleFamily,02/07/2024,1899000.0
R2902206,5,4,"4051 Marguerite St, Vancouver, BC, Canada",6405.0,3,21911.0,1089.0,1929.0,SingleFamily,02/07/2024,6980000.0
R2901236,1,1,"3588 Sawmill Cres, Vancouver, BC, Canada",562.0,1,1535.0,1049.0,2020.0,Condo,02/07/2024,589999.0
R2901218,3,2,"1166 Melville St, Vancouver, BC, Canada",1090.0,1,3164.0,1255.0,1997.0,Townhouse,02/07/2024,1369000.0
R2901417,2,2,"2912 W 33rd Ave, Vancouver, BC, Canada",1394.0,1,3957.0,1276.0,2012.0,Townhouse,02/07/2024,1780000.0
R2902641,1,1,"1351 Continental St, Vancouver, BC, Canada",770.0,1,2358.0,1023.0,2014.0,Condo,02/07/2024,788000.0
R2901380,2,1,"5050 Main St, Vancouver, BC, Canada",771.0,2,3628.0,5043.0,1953.0,SingleFamily,02/07/2024,3888888.0
R2902161,3,3,"4371 Puget Dr, Vancouver, BC, Canada",2472.0,0,12993.0,1775.0,2009.0,SingleFamily,02/07/2024,4388800.0
R2901766,2,1,"1725 Pendrell St, Vancouver, BC, Canada",801.0,1,1908.0,1047.0,1974.0,Condo,02/07/2024,839000.0
R2901854,1,1,"87 Nelson St, Vancouver, BC, Canada",582.0,1,2012.0,1371.0,2019.0,Condo,02/07/2024,798000.0
R2901940,1,1,"1283 Howe St, Vancouver, BC, Canada",540.0,1,2289.0,1479.0,2019.0,Condo,02/07/2024,799000.0
R2901610,2,2,"455 Marine Dr Sw, Vancouver, BC, Canada",880.0,1,2878.0,1122.0,2019.0,Condo,02/07/2024,988000.0
R2902255,5,3,"112 E 26th Ave, Vancouver, BC, Canada",1688.0,2,7131.0,1142.0,1994.0,SingleFamily,02/07/2024,1928000.0
R2901488,3,3,"1865 Adanac St, Vancouver, BC, Canada",1627.0,1,4285.0,1029.0,2017.0,Townhouse,02/07/2024,1675000.0
R2904147,2,2,"2528 Collingwood St, Vancouver, BC, Canada",767.0,1,2411.0,1172.0,2014.0,Condo,02/07/2024,899000.0
R2901741,2,2,"2057 E 5th Ave, Vancouver, BC, Canada",1509.0,1,5472.0,1191.0,1994.0,MultiFamily,02/07/2024,1798000.0
R2901983,1,1,"1876 W 6th Ave, Vancouver, BC, Canada",700.0,1,1794.0,957.0,1989.0,Condo,02/07/2024,669900.0
