,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
11,Apartment/Condominium,"$1,951",1115 sqft,Yes,$493,R2905329,,Residential,1996,,"417 - 32085 George Ferguson Way, Abbotsford, BC",2,2,2,10/07/2024,"$549,900"
12,Townhouse,"$3,756",2390 sqft,Yes,$407,R2904825,,Residential,2016,,"50 - 34230 Elmwood Dr, Abbotsford, BC",3,3,4,10/07/2024,"$975,000"
13,Single Family Residence,"$4,775",3054 sqft,Yes,$425,R2903041,,Residential,2003,,"34085 Higginson Cres, Abbotsford, BC",3,5,4,10/07/2024,"$1,299,000"
14,Single Family Residence,"$6,665",3718 sqft,Yes,$537,R2905047,,Residential,2020,,"2761 Aquila Dr, Abbotsford, BC",3,5,6,10/07/2024,"$1,999,900"
15,Single Family Residence,"$4,043",2060 sqft,No,$576,R2903917,,Residential,1966,,"2537 Stanley St, Abbotsford, BC",1,3,0,10/07/2024,"$1,188,000"
16,Apartment/Condominium,"$1,005",993 sqft,Yes,$320,R2904213,,Residential,1982,,"230 - 2279 Mccallum Rd, Abbotsford, BC",1,2,1,09/07/2024,"$318,000"
17,Apartment/Condominium,"$1,650",1310 sqft,Yes,$438,R2904954,,Residential,1995,,"401 - 2772 Clearbrook Rd, Abbotsford, BC",2,2,1,09/07/2024,"$575,000"
18,Single Family Residence,,3354 sqft,Yes,$477,R2903577,,Residential,2024,,"3672 Creekstone Dr, Abbotsford, BC",3,4,5,09/07/2024,"$1,599,900"
19,Townhouse,"$2,100",1450 sqft,Yes,$413,R2904473,,Residential,1994,,"58 - 31406 Upper Maclure Rd, Abbotsford, BC",2,2,2,09/07/2024,"$599,900"
20,Single Family Residence,"$4,126",2169 sqft,Yes,$506,R2902945,,Residential,1978,,"3347 Omineca Crt, Abbotsford, BC",2,4,5,09/07/2024,"$1,099,000"
21,Townhouse,"$2,471",1140 sqft,Yes,$587,R2903550,,Residential,2020,,"6 - 2799 Allwood St, Abbotsford, BC",2,2,2,09/07/2024,"$669,900"
22,Apartment/Condominium,"$1,415",1044 sqft,Yes,$407,R2904119,,Residential,1994,,"209 - 33731 Marshall Rd, Abbotsford, BC",2,2,1,09/07/2024,"$425,000"
23,Single Family Residence,"$3,962",1642 sqft,No,$721,R2904516,,Residential,1986,,"34586 Pearl Ave, Abbotsford, BC",2,4,6,09/07/2024,"$1,185,000"
24,Single Family Residence,"$3,842",1309 sqft,Yes,$725,R2903557,,Residential,1976,,"3082 Todd Crt, Abbotsford, BC",1,3,4,08/07/2024,"$949,900"
25,Single Family Residence,"$4,446",2429 sqft,Yes,$480,R2903768,,Residential,1993,,"3284 Saddle St, Abbotsford, BC",3,4,8,08/07/2024,"$1,168,000"
26,Apartment/Condominium,"$1,541",944 sqft,Yes,$423,R2904157,,Residential,1990,,"310 - 1755 Salton Rd, Abbotsford, BC",1,2,1,08/07/2024,"$399,900"
27,Single Family Residence,"$5,219",3828 sqft,Yes,$339,R2903875,,Residential,1992,,"3775 Lethbridge Dr, Abbotsford, BC",4,7,6,08/07/2024,"$1,299,000"
28,Multi Family,"$3,414",3454 sqft,Yes,$360,R2902060,,Residential,2023,,"2811 Platform Cres, Abbotsford, BC",3,4,3,08/07/2024,"$1,245,000"
29,Townhouse,"$2,658",1492 sqft,Yes,$459,R2903011,,Residential,1991,,"85 - 36060 Old Yale Rd, Abbotsford, BC",2,3,2,08/07/2024,"$685,000"
30,Townhouse,"$3,228",1874 sqft,Yes,$490,R2902680,,Residential,2019,,"8 - 31548 Upper Maclure Rd, Abbotsford, BC",2,3,3,08/07/2024,"$918,888"
31,Single Family Residence,"$6,419",4357 sqft,Yes,$367,R2903820,,Residential,1999,,"36020 Spyglass Crt, Abbotsford, BC",4,4,12,08/07/2024,"$1,600,000"
32,Single Family Residence,"$4,347",2574 sqft,Yes,$561,R2902894,,Residential,2010,,"14 - 3457 Whatcom Rd, Abbotsford, BC",2,3,4,07/07/2024,"$1,445,000"
33,Apartment/Condominium,$657,1129 sqft,Yes,$291,R2905146,,Residential,1980,,"208 - 32040 Tims Ave, Abbotsford, BC",1,2,1,07/07/2024,"$329,000"
34,Single Family Residence,"$10,302",1943 sqft,Yes,"$1,903",R2902952,,Residential,1963,,"28989 Marsh Mccormick Rd, Abbotsford, BC",1,3,0,07/07/2024,"$3,699,000"
35,Single Family Residence,"$4,457",2971 sqft,No,$420,R2902863,,Residential,1991,,"34655 Baldwin Rd, Abbotsford, BC",3,5,4,07/07/2024,"$1,249,800"
36,Apartment/Condominium,"$1,172",1038 sqft,Yes,$418,R2904333,,Residential,1981,,"214 - 31955 Old Yale Rd, Abbotsford, BC",1,2,1,07/07/2024,"$434,900"
37,Single Family Residence,"$6,052",2665 sqft,Yes,$581,R2904985,,Residential,1977,,"1559 Whatcom Rd, Abbotsford, BC",2,4,10,07/07/2024,"$1,549,900"
38,Apartment/Condominium,"$1,244",1366 sqft,Yes,$343,R2902529,,Residential,1981,,"205 - 32097 Tims Ave, Abbotsford, BC",2,3,1,07/07/2024,"$469,900"
39,Single Family Residence,"$4,363",2323 sqft,Yes,$430,R2902928,,Residential,1990,,"35331 Sandy Hill Rd, Abbotsford, BC",2,5,4,07/07/2024,"$999,995"
40,Single Family Residence,,3723 sqft,Yes,$456,R2902080,,Residential,2024,,"2807 Platform Cres, Abbotsford, BC",4,6,4,04/07/2024,"$1,699,000"
41,Apartment/Condominium,,947 sqft,Yes,$525,R2901873,,Residential,1997,,"406 - 33728 King Rd, Abbotsford, BC",2,2,2,04/07/2024,"$498,000"
42,Apartment/Condominium,"$1,519",692 sqft,Yes,$592,R2901701,,Residential,2007,,"214 - 33545 Rainbow Ave, Abbotsford, BC",1,1,1,04/07/2024,"$409,900"
43,Apartment/Condominium,"$1,806",879 sqft,Yes,$602,R2902150,,Residential,2009,,"408 - 1975 Mccallum Rd, Abbotsford, BC",2,2,2,04/07/2024,"$529,900"
44,Single Family Residence,"$4,713",2585 sqft,Yes,$483,R2903282,,Residential,1999,,"34613 Quarry Ave, Abbotsford, BC",3,5,4,04/07/2024,"$1,249,000"
45,Single Family Residence,"$4,270",2158 sqft,Yes,$532,R2905172,,Residential,1981,,"35215 Mckee Rd, Abbotsford, BC",2,3,0,04/07/2024,"$1,150,000"
46,Townhouse,"$2,294",2194 sqft,No,$307,R2902165,,Residential,1982,,"5 - 32917 Amicus Pl, Abbotsford, BC",2,3,2,04/07/2024,"$674,900"
47,Townhouse,"$2,728",1414 sqft,Yes,$509,R2901564,,Residential,2009,,"6 - 34248 King Rd, Abbotsford, BC",2,3,3,04/07/2024,"$719,900"
48,Single Family Residence,"$4,697",1919 sqft,Yes,$573,R2900852,,Residential,1975,,"2666 Stewart Cres, Abbotsford, BC",2,4,8,02/07/2024,"$1,099,900"
49,Single Family Residence,"$3,818",2205 sqft,Yes,"$1,133",R2900626,,Residential,2010,,"35625 Page Rd, Abbotsford, BC",3,3,10,02/07/2024,"$2,499,900"
50,Apartment/Condominium,"$1,543",626 sqft,Yes,$670,R2901056,,Residential,2016,,"411 - 2565 Campbell Ave, Abbotsford, BC",1,1,1,02/07/2024,"$419,700"
51,Single Family Residence,"$9,514",7335 sqft,Yes,$327,R2901523,,Residential,2020,,"4446 Emily Carr Pl, Abbotsford, BC",7,7,6,02/07/2024,"$2,399,999"
52,Single Family Residence,"$4,206",900 sqft,No,"$1,111",R2901102,,Residential,1960,,"2055 Mckenzie Rd, Abbotsford, BC",1,2,6,02/07/2024,"$999,900"
53,Apartment/Condominium,$755,925 sqft,Yes,$335,R2901141,,Residential,1975,,"435 - 1909 Salton Rd, Abbotsford, BC",1,2,2,02/07/2024,"$309,900"
54,Apartment/Condominium,"$1,469",1134 sqft,Yes,$290,R2901156,,Residential,1975,,"300 - 1909 Salton Rd, Abbotsford, BC",1,3,2,02/07/2024,"$329,900"
55,Apartment/Condominium,"$1,245",532 sqft,No,$714,R2901939,,Residential,2009,,"310 - 30515 Cardinal Ave, Abbotsford, BC",1,1,1,02/07/2024,"$380,000"
56,Townhouse,"$2,866",1335 sqft,Yes,$591,R2900363,,Residential,2019,,"134 - 30930 Westridge Pl, Abbotsford, BC",2,3,2,01/07/2024,"$789,000"
57,Single Family Residence,"$3,810",1895 sqft,No,$554,R2900498,,Residential,1974,,"2284 Midas St, Abbotsford, BC",2,4,6,01/07/2024,"$1,049,900"
58,Single Family Residence,"$4,767",1871 sqft,Yes,$602,R2900517,,Residential,1977,,"32436 Cordova Ave, Abbotsford, BC",2,3,6,01/07/2024,"$1,127,700"
59,Single Family Residence,"$5,213",1514 sqft,Yes,$653,R2900252,,Residential,2003,,"3274 Goldstream Dr, Abbotsford, BC",2,3,5,01/07/2024,"$989,000"
60,Townhouse,"$2,204",1280 sqft,Yes,$584,R2900474,,Residential,2020,,"148 - 30930 Westridge Pl, Abbotsford, BC",2,2,2,01/07/2024,"$748,000"
61,Townhouse,,1153 sqft,Yes,$559,R2900937,,Residential,2024,,"106 - 30530 Cardinal Ave, Abbotsford, BC",2,2,2,01/07/2024,"$644,900"
62,Townhouse,"$2,457",2034 sqft,Yes,$373,R2901207,,Residential,1988,,"15 - 33922 King Rd, Abbotsford, BC",2,3,2,01/07/2024,"$759,900"
63,Townhouse,"$1,579",928 sqft,No,$484,R2900815,,Residential,1980,,"1611 - 34909 Old Yale Rd, Abbotsford, BC",1,2,2,01/07/2024,"$449,880"
64,Apartment/Condominium,,685 sqft,Yes,$729,R2900134,,Residential,2026,,"310 - 32831 Ventura Ave, Abbotsford, BC",1,1,1,27/06/2024,"$499,900"
65,Townhouse,"$2,774",1366 sqft,Yes,$574,R2902079,,Residential,2019,,"46 - 27735 Roundhouse Dr, Abbotsford, BC",2,3,3,30/06/2024,"$785,000"
66,Apartment/Condominium,$934,661 sqft,Yes,$423,R2898311,,Residential,1974,,"304 - 2211 Clearbrook Rd, Abbotsford, BC",1,1,1,27/06/2024,"$280,000"
67,Apartment/Condominium,"$2,048",883 sqft,Yes,$667,R2901196,,Residential,2021,,"122 - 31158 Westridge Pl, Abbotsford, BC",2,2,2,30/06/2024,"$589,000"
68,Apartment/Condominium,,720 sqft,Yes,$763,R2900136,,Residential,2026,,"105 - 32831 Ventura Ave, Abbotsford, BC",1,2,1,27/06/2024,"$549,900"
69,Single Family Residence,"$5,036",3613 sqft,Yes,$387,R2899852,,Residential,1996,,"31481 Southern Dr, Abbotsford, BC",3,5,6,27/06/2024,"$1,399,900"
70,Apartment/Condominium,"$2,297",1052 sqft,Yes,$560,R2900636,,Residential,2014,,"306 - 2565 Campbell Ave, Abbotsford, BC",2,3,2,27/06/2024,"$589,900"
71,Multi Family,"$2,843",1825 sqft,Yes,$575,R2891167,,Residential,2024,,"2 - 33580 Huggins Ave, Abbotsford, BC",3,4,2,27/06/2024,"$1,050,000"
72,Apartment/Condominium,"$1,518",1105 sqft,Yes,$407,R2899347,,Residential,1993,,"202 - 2626 Countess St, Abbotsford, BC",2,2,1,25/06/2024,"$449,900"
73,Manufactured Home,"$1,168",944 sqft,No,$345,R2898851,,Residential,2007,,"24 - 2035 Martens St, Abbotsford, BC",1,2,2,25/06/2024,"$325,900"
74,Single Family Residence,"$4,911",2839 sqft,Yes,$422,R2899381,,Residential,1984,,"32076 Ashcroft Dr, Abbotsford, BC",3,4,2,25/06/2024,"$1,199,888"
75,Single Family Residence,"$4,226",2340 sqft,Yes,$572,R2898460,,Residential,2021,,"35873 Timberlane Dr, Abbotsford, BC",2,3,4,25/06/2024,"$1,338,800"
76,Single Family Residence,"$4,948",3630 sqft,Yes,$385,R2895861,,Residential,1985,,"3711 Qualicum St, Abbotsford, BC",3,4,6,25/06/2024,"$1,399,900"
77,Single Family Residence,"$3,908",1590 sqft,Yes,$559,R2898977,,Residential,1979,,"2894 Willband St, Abbotsford, BC",2,3,3,25/06/2024,"$889,000"
78,Townhouse,"$3,259",1935 sqft,Yes,$439,R2899529,,Residential,2009,,"40 - 35626 Mckee Rd, Abbotsford, BC",2,3,2,25/06/2024,"$849,900"
79,Single Family Residence,"$4,957",3004 sqft,Yes,$449,R2899459,,Residential,1995,,"2607 Blackham Dr, Abbotsford, BC",3,6,6,25/06/2024,"$1,349,999"
80,Apartment/Condominium,"$1,899",892 sqft,Yes,$700,R2898586,,Residential,2022,,"312 - 1514 Mccallum Rd, Abbotsford, BC",2,2,1,24/06/2024,"$625,000"
81,Apartment/Condominium,"$1,374",603 sqft,Yes,$610,R2898695,,Residential,2007,,"212 - 2515 Park Dr, Abbotsford, BC",1,1,1,24/06/2024,"$368,000"
82,Apartment/Condominium,"$3,188",895 sqft,Yes,$893,R2893299,,Residential,2018,,"1904 - 2180 Gladwin Rd, Abbotsford, BC",2,2,2,23/06/2024,"$799,900"
83,Single Family Residence,"$5,813",4177 sqft,Yes,$347,R2898401,,Residential,1993,,"11 - 31600 Old Yale Rd, Abbotsford, BC",3,6,2,24/06/2024,"$1,449,888"
84,Single Family Residence,"$4,130",2167 sqft,Yes,$507,R2898564,,Residential,2001,,"36262 Auguston Pky S, Abbotsford, BC",3,4,4,24/06/2024,"$1,099,900"
85,Apartment/Condominium,"$1,551",1004 sqft,No,$397,R2898860,,Residential,1993,,"302 - 33887 Marshall Rd, Abbotsford, BC",2,2,1,24/06/2024,"$399,000"
86,Townhouse,"$2,121",1228 sqft,Yes,$484,R2898907,,Residential,1987,,"5 - 3292 Vernon Terr, Abbotsford, BC",2,2,1,24/06/2024,"$595,000"
87,Apartment/Condominium,$909,785 sqft,Yes,$292,R2896157,,Residential,1990,,"217 - 33535 King Rd, Abbotsford, BC",1,1,1,23/06/2024,"$229,900"
88,Single Family Residence,"$4,644",2044 sqft,Yes,$562,R2897651,,Residential,1979,,"3245 Jervis Cres, Abbotsford, BC",2,5,6,19/06/2024,"$1,149,000"
89,Single Family Residence,"$4,241",2547 sqft,Yes,$431,R2897348,,Residential,1986,,"35882 Eaglecrest Dr, Abbotsford, BC",2,4,2,19/06/2024,"$1,099,900"
90,Single Family Residence,"$4,898",3254 sqft,Yes,$429,R2897254,,Residential,1991,,"3273 Deertrail Dr, Abbotsford, BC",3,5,4,19/06/2024,"$1,399,000"
91,Apartment/Condominium,"$1,395",1185 sqft,Yes,$336,R2897855,,Residential,1976,,"106 - 32870 George Ferguson Way, Abbotsford, BC",1,3,1,20/06/2024,"$399,000"
92,Single Family Residence,"$4,255",2094 sqft,No,$510,R2897302,,Residential,1983,,"3720 Nanaimo Cres, Abbotsford, BC",3,4,0,19/06/2024,"$1,069,000"
93,Single Family Residence,"$4,704",2603 sqft,Yes,$480,R2897744,,Residential,1980,,"3754 Balsam Cres, Abbotsford, BC",3,4,6,20/06/2024,"$1,249,900"
94,Single Family Residence,"$4,961",2626 sqft,Yes,$495,R2896239,,Residential,1999,,"35184 Kootenay Dr, Abbotsford, BC",3,5,7,19/06/2024,"$1,299,999"
95,Apartment/Condominium,"$1,587",733 sqft,Yes,$545,R2897559,,Residential,2008,,"302 - 33546 Holland Ave, Abbotsford, BC",1,1,1,19/06/2024,"$399,800"
96,Single Family Residence,"$5,168",2783 sqft,No,$485,R2897199,,Residential,1972,,"34245 Larch St, Abbotsford, BC",2,6,5,18/06/2024,"$1,349,999"
97,Single Family Residence,"$4,305",2374 sqft,Yes,$484,R2896090,,Residential,1984,,"2905 Glenshiel Dr, Abbotsford, BC",2,4,6,17/06/2024,"$1,150,000"
98,Apartment/Condominium,"$1,240",393 sqft,Yes,$852,R2895255,,Residential,2015,,"206 - 3090 Gladwin Rd, Abbotsford, BC",1,1,1,17/06/2024,"$334,900"
99,Single Family Residence,"$4,396",2175 sqft,Yes,$539,R2890733,,Residential,2020,,"4728 Carl Creek Lane, Abbotsford, BC",3,4,4,18/06/2024,"$1,174,000"
100,Single Family Residence,"$4,636",2671 sqft,Yes,$482,R2896970,,Residential,2013,,"2732 Tylney Lane, Abbotsford, BC",3,6,4,17/06/2024,"$1,289,900"
101,Single Family Residence,,2479 sqft,Yes,$483,R2896136,,Residential,1978,,"2572 Springhill St, Abbotsford, BC",3,5,0,17/06/2024,"$1,199,000"
102,Single Family Residence,"$5,515",2927 sqft,Yes,$460,R2896907,,Residential,2005,,"35839 Regal Pky, Abbotsford, BC",2,3,4,18/06/2024,"$1,348,000"
103,Townhouse,"$2,254",1205 sqft,No,$521,R2896782,,Residential,1981,,"199 - 32550 Maclure Rd, Abbotsford, BC",1,3,1,18/06/2024,"$629,000"
104,Single Family Residence,"$16,565",4378 sqft,Yes,"$1,871",R2895803,,Residential,1985,,"1777 Townline Rd, Abbotsford, BC",3,5,9,16/06/2024,"$8,195,000"
105,Townhouse,"$1,483",868 sqft,No,$489,R2894994,,Residential,1980,,"1221 - 34909 Old Yale Rd, Abbotsford, BC",1,1,2,16/06/2024,"$424,900"
106,Single Family Residence,"$6,524",4429 sqft,Yes,$361,R2894890,,Residential,2013,,"27892 Maclure Rd, Abbotsford, BC",3,6,4,16/06/2024,"$1,599,900"
107,Single Family Residence,"$4,460",1647 sqft,Yes,$628,R2895299,,Residential,1990,,"3149 Townline Rd, Abbotsford, BC",2,3,5,16/06/2024,"$1,035,000"
108,Townhouse,"$3,460",2277 sqft,Yes,$366,R2896087,,Residential,2004,,"12 - 2088 Winfield Dr, Abbotsford, BC",2,3,4,16/06/2024,"$835,000"
109,Apartment/Condominium,"$1,649",1338 sqft,Yes,$373,R2895588,,Residential,1993,,"303 - 32044 Old Yale Rd, Abbotsford, BC",2,2,1,16/06/2024,"$499,900"
110,Multi Family,"$4,411",2406 sqft,Yes,$457,R2896699,,Residential,2021,,"32549 Peardonville Rd, Abbotsford, BC",3,4,2,16/06/2024,"$1,099,900"
111,Apartment/Condominium,"$1,751",909 sqft,Yes,$571,R2896053,,Residential,2007,,"405 - 33318 Bourquin Cres E, Abbotsford, BC",2,2,1,16/06/2024,"$519,900"
112,Apartment/Condominium,"$2,377",1060 sqft,Yes,$584,R2894630,,Residential,2017,,"303 - 2860 Trethewey St, Abbotsford, BC",2,2,2,12/06/2024,"$619,900"
113,Apartment/Condominium,"$1,277",854 sqft,Yes,$421,R2894964,,Residential,1981,,"205 - 32950 Amicus Pl, Abbotsford, BC",1,2,1,13/06/2024,"$359,900"
114,Single Family Residence,"$7,148",5329 sqft,Yes,$337,R2894949,,Residential,2005,,"35519 Mckee Rd, Abbotsford, BC",3,5,4,13/06/2024,"$1,799,900"
115,Apartment/Condominium,$864,802 sqft,Yes,$660,R2895640,,Residential,2022,,"411 - 1514 Mccallum Rd, Abbotsford, BC",2,2,2,13/06/2024,"$529,999"
116,Apartment/Condominium,"$1,995",992 sqft,Yes,$549,R2895208,,Residential,2007,,"409 - 33318 Bourquin Cres E, Abbotsford, BC",2,2,2,13/06/2024,"$544,900"
117,Single Family Residence,"$2,890",3495 sqft,Yes,$471,R2894719,,Residential,2023,,"2558 Terminal Crt, Abbotsford, BC",5,7,2,13/06/2024,"$1,649,000"
118,Apartment/Condominium,"$1,824",1235 sqft,Yes,$425,R2894874,,Residential,1992,,"317 - 33175 Old Yale Rd, Abbotsford, BC",2,2,1,13/06/2024,"$524,900"
119,Single Family Residence,"$4,736",2702 sqft,No,$462,R2894250,,Residential,1975,,"2614 Valemont Cres, Abbotsford, BC",3,6,6,13/06/2024,"$1,249,000"
120,Townhouse,"$1,261",1185 sqft,No,$362,R2893220,,Residential,1987,,"4 - 2901 Trafalgar St, Abbotsford, BC",2,2,2,11/06/2024,"$429,900"
121,Apartment/Condominium,"$1,196",1032 sqft,Yes,$435,R2894140,,Residential,1982,,"504 - 31955 Old Yale Rd, Abbotsford, BC",1,2,1,11/06/2024,"$449,900"
122,Single Family Residence,"$4,945",2375 sqft,Yes,$564,R2893203,,Residential,1983,,"3363 Okanagan Dr, Abbotsford, BC",2,4,7,11/06/2024,"$1,340,000"
123,Single Family Residence,"$5,018",2916 sqft,Yes,$406,R2894059,,Residential,1984,,"32554 Murray Ave, Abbotsford, BC",2,4,8,11/06/2024,"$1,184,900"
124,Single Family Residence,"$4,309",2688 sqft,Yes,$435,R2893261,,Residential,1981,,"35387 Delair Rd, Abbotsford, BC",3,5,6,11/06/2024,"$1,170,000"
125,Townhouse,"$2,500",1253 sqft,No,$546,R2894285,,Residential,2024,,"39 - 2886 Montrose Ave, Abbotsford, BC",2,2,2,11/06/2024,"$684,900"
126,Single Family Residence,"$5,175",3230 sqft,Yes,$460,R2893285,,Residential,2003,,"30490 Northridge Way, Abbotsford, BC",4,6,6,11/06/2024,"$1,488,800"
127,Townhouse,"$3,274",1924 sqft,Yes,$472,R2893659,,Residential,2010,,"26 - 35626 Mckee Rd, Abbotsford, BC",2,3,4,11/06/2024,"$910,000"
128,Apartment/Condominium,"$2,128",859 sqft,Yes,$698,R2892541,,Residential,2021,,"338 - 31158 Westridge Pl, Abbotsford, BC",2,2,1,09/06/2024,"$599,800"
129,Townhouse,"$2,271",1951 sqft,No,$374,R2893331,,Residential,1986,,"45 - 3055 Trafalgar St, Abbotsford, BC",2,3,2,09/06/2024,"$729,900"
130,Single Family Residence,"$4,724",2530 sqft,Yes,$493,R2892635,,Residential,1986,,"35872 Heatherstone Pl, Abbotsford, BC",3,4,4,09/06/2024,"$1,249,000"
131,Apartment/Condominium,"$1,285",910 sqft,No,$351,R2893248,,Residential,1975,,"236 - 1909 Salton Rd, Abbotsford, BC",1,2,2,09/06/2024,"$319,900"
132,Apartment/Condominium,"$1,239",378 sqft,Yes,$894,R2892977,,Residential,2016,,"215 - 3080 Gladwin Rd, Abbotsford, BC",1,1,1,09/06/2024,"$338,000"
133,Single Family Residence,"$5,353",3325 sqft,Yes,$387,R2893512,,Residential,1992,,"3583 Mckinley Dr, Abbotsford, BC",3,4,5,09/06/2024,"$1,288,000"
134,Single Family Residence,,3548 sqft,Yes,$535,R2892664,,Residential,2023,,"2380 Beaver St, Abbotsford, BC",6,8,0,09/06/2024,"$1,899,000"
135,Apartment/Condominium,"$2,082",880 sqft,Yes,$589,R2893581,,Residential,2021,,"307 - 33568 George Ferguson Way, Abbotsford, BC",2,2,1,09/06/2024,"$519,000"
136,Single Family Residence,"$4,387",2378 sqft,Yes,$409,R2892162,,Residential,1988,,"32632 Haida Dr, Abbotsford, BC",2,5,5,06/06/2024,"$974,000"
137,Apartment/Condominium,"$1,611",1074 sqft,Yes,$449,R2891867,,Residential,1990,,"214 - 2780 Ware St, Abbotsford, BC",2,2,1,06/06/2024,"$482,500"
138,Townhouse,"$3,725",2839 sqft,Yes,$346,R2891170,,Residential,2005,,"3 - 35931 Empress Dr, Abbotsford, BC",3,4,2,05/06/2024,"$983,800"
139,Single Family Residence,"$3,668",1615 sqft,No,$617,R2893681,,Residential,1974,,"2235 Crystal Crt, Abbotsford, BC",2,3,5,06/06/2024,"$997,000"
140,Single Family Residence,"$4,680",2100 sqft,Yes,$571,R2891390,,Residential,1971,,"2568 Mendham St, Abbotsford, BC",2,5,4,06/06/2024,"$1,199,900"
141,Apartment/Condominium,"$1,980",1113 sqft,Yes,$584,R2891051,,Residential,2021,,"106 - 3182 Gladwin Rd, Abbotsford, BC",2,2,2,05/06/2024,"$650,000"
142,Single Family Residence,"$3,883",2170 sqft,No,$546,R2891289,,Residential,1977,,"33137 Capri Crt, Abbotsford, BC",2,5,0,05/06/2024,"$1,185,000"
143,Single Family Residence,"$4,544",2160 sqft,Yes,$555,R2891535,,Residential,1980,,"32855 Harwood Cres, Abbotsford, BC",2,5,6,05/06/2024,"$1,199,888"
144,Townhouse,"$2,464",1629 sqft,No,$337,R2891620,,Residential,1989,,"58 - 34959 Old Clayburn Rd, Abbotsford, BC",2,2,1,04/06/2024,"$549,900"
145,Single Family Residence,"$5,241",3107 sqft,Yes,$401,R2891454,,Residential,1986,,"3476 Creston Dr, Abbotsford, BC",3,7,6,04/06/2024,"$1,249,000"
146,Single Family Residence,"$5,610",3319 sqft,Yes,$451,R2888848,,Residential,2013,,"2711 Bristol Dr, Abbotsford, BC",4,6,6,04/06/2024,"$1,499,900"
147,Townhouse,"$2,254",1164 sqft,No,$548,R2889057,,Residential,1980,,"91 - 3030 Trethewey St, Abbotsford, BC",1,3,1,04/06/2024,"$639,000"
148,Townhouse,,1532 sqft,Yes,$531,R2890745,,Residential,2022,,"11 - 1419 Mccallum Rd, Abbotsford, BC",2,3,2,04/06/2024,"$814,000"
149,Single Family Residence,"$9,638",7110 sqft,Yes,$337,R2892215,,Residential,1997,,"34991 Hamon Dr, Abbotsford, BC",6,6,0,04/06/2024,"$2,399,000"
150,Single Family Residence,"$2,023",3331 sqft,Yes,$398,R2890384,,Residential,2005,,"34078 Amblewood Pl, Abbotsford, BC",3,7,6,03/06/2024,"$1,329,000"
151,Single Family Residence,"$4,666",2692 sqft,No,$464,R2889761,,Residential,1959,,"2331 Alder St, Abbotsford, BC",2,3,4,04/06/2024,"$1,249,900"
152,Townhouse,"$2,746",2368 sqft,Yes,$327,R2889109,,Residential,1993,,"75 - 1973 Winfield Dr, Abbotsford, BC",2,3,2,30/05/2024,"$775,000"
153,Townhouse,"$2,593",2044 sqft,Yes,$342,R2887263,,Residential,1990,,"24 - 3115 Trafalgar St, Abbotsford, BC",3,3,1,30/05/2024,"$699,900"
154,Single Family Residence,"$6,884",1734 sqft,Yes,$807,R2889769,,Residential,1977,,"35737 Old Yale Rd, Abbotsford, BC",2,3,10,31/05/2024,"$1,399,900"
155,Single Family Residence,"$5,202",3991 sqft,Yes,$450,R2889970,,Residential,2022,,"33682 Busby Rd, Abbotsford, BC",5,7,4,02/06/2024,"$1,799,000"
