,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
20,Apartment/Condominium,"$1,765",1084 sqft,Yes,$552,R2900305,,Residential,1990,,"3D - 1400 George St, White Rock, BC",2,2,1,27/06/2024,"$599,000"
21,Single Family Residence,"$8,316",3769 sqft,Yes,$530,R2900126,,Residential,2001,,"925 Kent St, White Rock, BC",3,5,4,27/06/2024,"$1,999,899"
22,Apartment/Condominium,"$3,121",985 sqft,Yes,$761,R2898611,,Residential,1986,,"209 - 15025 Victoria Ave, White Rock, BC",1,1,1,27/06/2024,"$749,900"
23,Single Family Residence,"$6,332",4577 sqft,Yes,$762,R2898011,,Residential,2024,,"14799 Oxenham Ave, White Rock, BC",7,7,0,27/06/2024,"$3,488,000"
24,Single Family Residence,"$7,547",4913 sqft,Yes,$893,R2897761,,Residential,2023,,"1255 Kent St, White Rock, BC",5,4,4,20/06/2024,"$4,388,000"
25,Apartment/Condominium,"$2,435",550 sqft,Yes,"$1,160",R2899558,,Residential,2020,,"1002 - 1441 Johnston Rd, White Rock, BC",1,1,1,23/06/2024,"$638,000"
26,Single Family Residence,"$7,593",2821 sqft,No,$619,R2898066,,Residential,1969,,"1041 Kent St, White Rock, BC",2,6,0,23/06/2024,"$1,749,000"
27,Single Family Residence,"$4,825",2656 sqft,Yes,$695,R2897421,,Residential,2024,,"15438 Goggs Ave, White Rock, BC",4,6,4,23/06/2024,"$1,848,000"
28,Single Family Residence,"$8,700",2263 sqft,Yes,$994,R2900190,,Residential,1947,,"1154 Finlay St, White Rock, BC",3,4,8,20/06/2024,"$2,249,999"
29,Apartment/Condominium,"$3,125",937 sqft,Yes,$779,R2898298,,Residential,2009,,"406 - 15152 Russell Ave, White Rock, BC",2,2,1,23/06/2024,"$729,999"
30,Single Family Residence,"$5,500",1839 sqft,Yes,$761,R2898086,,Residential,1972,,"1587 Stayte Rd, White Rock, BC",2,3,7,23/06/2024,"$1,399,800"
31,Townhouse,"$4,341",1083 sqft,Yes,"$1,004",R2898484,,Residential,2020,,"103 - 15165 Thrift Ave, White Rock, BC",2,2,2,23/06/2024,"$1,088,000"
32,Single Family Residence,"$6,154",2342 sqft,Yes,$768,R2895262,,Residential,1991,,"913 Stevens St, White Rock, BC",2,3,8,16/06/2024,"$1,799,000"
33,Single Family Residence,"$7,349",2731 sqft,Yes,$714,R2895307,,Residential,1967,,"13755 Blackburn Ave, White Rock, BC",3,4,5,16/06/2024,"$1,950,000"
34,Apartment/Condominium,"$13,404",2959 sqft,Yes,"$1,311",R2895304,,Residential,2007,,"1101 - 14824 N Bluff Rd, White Rock, BC",3,3,3,16/06/2024,"$3,880,000"
35,Single Family Residence,"$6,742",2103 sqft,No,$759,R2895384,,Residential,1973,,"13728 Blackburn Ave, White Rock, BC",2,4,5,16/06/2024,"$1,598,000"
36,Apartment/Condominium,"$4,327",1264 sqft,Yes,"$1,018",R2895647,,Residential,2017,,"202 - 1150 Oxford St, White Rock, BC",2,2,2,16/06/2024,"$1,288,000"
37,Apartment/Condominium,"$1,906",950 sqft,Yes,$594,R2895741,,Residential,1973,,"102 - 1555 Fir St, White Rock, BC",1,2,1,16/06/2024,"$565,000"
38,Apartment/Condominium,"$3,763",1079 sqft,Yes,$925,R2895674,,Residential,1987,,"502 - 15015 Victoria Ave, White Rock, BC",2,2,1,16/06/2024,"$999,000"
39,Apartment/Condominium,"$3,961",1259 sqft,Yes,"$1,016",R2896269,,Residential,2020,,"201 - 15165 Thrift Ave, White Rock, BC",2,3,2,16/06/2024,"$1,279,900"
40,Single Family Residence,"$9,617",4533 sqft,Yes,$564,R2892884,,Residential,2013,,"15438 Oxenham Ave, White Rock, BC",4,6,6,08/06/2024,"$2,560,000"
41,Single Family Residence,"$5,775",1789 sqft,Yes,$837,R2891740,,Residential,1969,,"15883 Vine Ave, White Rock, BC",1,3,3,06/06/2024,"$1,499,000"
42,Apartment/Condominium,"$3,255",1276 sqft,Yes,$610,R2892363,,Residential,1992,,"205 - 15809 Marine Dr, White Rock, BC",2,2,2,09/06/2024,"$779,000"
43,Apartment/Condominium,"$2,221",1178 sqft,Yes,$483,R2892495,,Residential,1990,,"2A - 1400 George St, White Rock, BC",2,2,1,09/06/2024,"$569,900"
44,Apartment/Condominium,$707,731 sqft,Yes,$530,R2892303,,Residential,1974,,"102 - 15020 N Bluff Rd, White Rock, BC",1,1,1,08/06/2024,"$388,000"
45,Apartment/Condominium,"$2,468",566 sqft,Yes,"$1,058",R2892618,,Residential,2020,,"404 - 1441 Johnston Rd, White Rock, BC",1,1,1,09/06/2024,"$599,000"
46,Apartment/Condominium,"$2,353",1111 sqft,Yes,$592,R2891931,,Residential,1985,,"103 - 15080 Prospect Ave, White Rock, BC",2,2,1,06/06/2024,"$658,800"
47,Single Family Residence,"$15,156",6026 sqft,Yes,$694,R2892713,,Residential,2015,,"1351 Kerfoot Rd, White Rock, BC",5,6,5,09/06/2024,"$4,188,000"
48,Townhouse,"$4,486",1830 sqft,Yes,$655,R2889792,,Residential,1990,,"1454 Stevens St, White Rock, BC",2,3,5,02/06/2024,"$1,199,000"
49,Single Family Residence,"$7,712",1712 sqft,Yes,"$1,026",R2886312,,Residential,9999,,"15385 Victoria Ave, White Rock, BC",2,2,1,02/06/2024,"$1,758,000"
50,Single Family Residence,"$11,605",2836 sqft,Yes,$986,R2889882,,Residential,1957,,"14645 Bellevue Cres, White Rock, BC",0,0,2,02/06/2024,"$2,799,000"
51,Apartment/Condominium,"$2,945",2120 sqft,Yes,$330,R2890731,,Residential,1995,,"101 - 15111 Russell Ave, White Rock, BC",2,3,1,03/06/2024,"$699,900"
52,Apartment/Condominium,,1096 sqft,Yes,$912,R2891204,,Residential,2022,,"515 - 1526 Finlay St, White Rock, BC",2,2,2,02/06/2024,"$999,900"
53,Single Family Residence,"$14,571",5344 sqft,Yes,$651,R2891462,,Residential,2014,,"14753 Upper Roper Ave, White Rock, BC",6,5,5,02/06/2024,"$3,480,000"
54,Single Family Residence,"$6,831",1105 sqft,No,"$1,492",R2891269,,Residential,1950,,"15427 Victoria Ave, White Rock, BC",1,2,0,02/06/2024,"$1,649,000"
55,Single Family Residence,"$6,661",2240 sqft,No,$892,R2889912,,Residential,1961,,"1235 Lee St, White Rock, BC",2,5,4,02/06/2024,"$1,999,999"
56,Single Family Residence,"$11,133",3573 sqft,Yes,$839,R2886362,,Residential,2006,,"1229 Anderson St, White Rock, BC",3,4,5,22/05/2024,"$2,998,000"
57,Apartment/Condominium,"$3,547",908 sqft,Yes,"$1,145",R2885909,,Residential,2022,,"707 - 1526 Finlay St, White Rock, BC",2,2,2,21/05/2024,"$1,039,999"
58,Apartment/Condominium,"$13,922",2379 sqft,Yes,"$1,439",R2886331,,Residential,2009,,"PH2 - 15152 Russell Ave, White Rock, BC",2,2,4,22/05/2024,"$3,425,000"
59,Single Family Residence,"$14,937",5509 sqft,Yes,$687,R2884403,,Residential,2016,,"15568 Cliff Ave, White Rock, BC",7,7,10,21/05/2024,"$3,788,000"
60,Apartment/Condominium,"$1,404",655 sqft,Yes,$653,R2885020,,Residential,1973,,"202 - 1444 Martin St, White Rock, BC",1,1,1,20/05/2024,"$428,000"
61,Apartment/Condominium,"$3,042",956 sqft,Yes,$908,R2885803,,Residential,2009,,"306 - 15152 Russell Ave, White Rock, BC",2,2,2,21/05/2024,"$869,000"
62,Apartment/Condominium,"$1,799",502 sqft,Yes,$995,R2885619,,Residential,2009,,"1305 - 1473 Johnston Rd, White Rock, BC",1,0,1,21/05/2024,"$499,900"
63,Apartment/Condominium,"$3,409",1071 sqft,Yes,$840,R2885800,,Residential,2013,,"507 - 1420 Johnston Rd, White Rock, BC",2,2,1,21/05/2024,"$899,900"
64,Apartment/Condominium,"$2,707",1085 sqft,Yes,$645,R2880949,,Residential,1992,,"206 - 15941 Marine Dr, White Rock, BC",2,2,1,08/05/2024,"$699,999"
65,Apartment/Condominium,"$1,940",934 sqft,Yes,$535,R2880161,,Residential,1974,,"105 - 1371 Foster St, White Rock, BC",1,2,1,06/05/2024,"$499,900"
66,Single Family Residence,"$6,230",2585 sqft,Yes,$649,R2881184,,Residential,2003,,"15454 Goggs Ave, White Rock, BC",3,4,2,08/05/2024,"$1,679,000"
67,Apartment/Condominium,"$5,510",1073 sqft,Yes,"$1,397",R2879821,,Residential,2020,,"1007 - 15165 Thrift Ave, White Rock, BC",2,2,2,07/05/2024,"$1,499,000"
68,Single Family Residence,"$8,642",876 sqft,No,"$2,111",R2881492,,Residential,9999,,"14623 W Beach Ave, White Rock, BC",1,2,2,08/05/2024,"$1,850,000"
69,Single Family Residence,"$10,599",3935 sqft,Yes,$901,R2879837,,Residential,1991,,"1386 Bishop Rd, White Rock, BC",3,4,5,07/05/2024,"$3,549,000"
70,Apartment/Condominium,"$3,184",1724 sqft,Yes,$578,R2880116,,Residential,1993,,"303 - 15213 Pacific Ave, White Rock, BC",3,3,1,06/05/2024,"$998,000"
71,Apartment/Condominium,"$3,971",1123 sqft,Yes,"$1,024",R2880399,,Residential,2022,,"502 - 1501 Foster St, White Rock, BC",2,2,2,06/05/2024,"$1,150,000"
72,Single Family Residence,"$6,870",1705 sqft,No,$996,R2873207,,Residential,1922,,"15245 Victoria Ave, White Rock, BC",2,2,5,21/04/2024,"$1,699,000"
73,Single Family Residence,,1456 sqft,No,"$1,236",R2873075,,Residential,1986,,"14741 Marine Dr, White Rock, BC",2,4,2,21/04/2024,"$1,799,999"
74,Apartment/Condominium,"$2,494",1314 sqft,Yes,$551,R2875297,,Residential,1995,,"507 - 1575 Best St, White Rock, BC",2,2,1,22/04/2024,"$725,000"
75,Single Family Residence,"$7,549",1660 sqft,Yes,"$1,137",R2874842,,Residential,1973,,"15542 Columbia Ave, White Rock, BC",1,2,0,21/04/2024,"$1,888,888"
76,Single Family Residence,"$6,604",2207 sqft,Yes,$761,R2874890,,Residential,1982,,"1071 Stevens St, White Rock, BC",2,3,5,22/04/2024,"$1,680,000"
77,Single Family Residence,"$7,271",2150 sqft,No,$802,R2871038,,Residential,1975,,"1080 Parker St, White Rock, BC",2,4,5,23/04/2024,"$1,725,000"
78,Apartment/Condominium,"$2,373",1020 sqft,Yes,$617,R2871752,,Residential,1994,,"413 - 1576 Merklin St, White Rock, BC",2,2,1,19/04/2024,"$629,900"
79,Apartment/Condominium,,1091 sqft,Yes,"$1,182",R2874907,,Residential,2024,,"1304 - 1588 Johnston Rd, White Rock, BC",2,2,2,22/04/2024,"$1,289,900"
80,Apartment/Condominium,"$4,078",1164 sqft,Yes,"$1,112",R2866961,,Residential,2022,,"501 - 1501 Foster St, White Rock, BC",2,2,2,04/04/2024,"$1,295,000"
81,Apartment/Condominium,,976 sqft,Yes,"$1,023",R2868251,,Residential,2022,,"804 - 1526 Finlay St, White Rock, BC",2,2,3,08/04/2024,"$999,000"
82,Apartment/Condominium,"$1,796",854 sqft,Yes,$526,R2869668,,Residential,1973,,"305 - 1319 Martin St, White Rock, BC",1,1,1,09/04/2024,"$449,900"
83,Single Family Residence,"$6,882",1347 sqft,No,"$1,239",R2868516,,Residential,1960,,"15644 Roper Ave, White Rock, BC",1,3,0,07/04/2024,"$1,670,000"
84,Apartment/Condominium,"$3,957",1122 sqft,Yes,$971,R2867422,,Residential,2022,,"804 - 1500 Martin St, White Rock, BC",2,2,2,07/04/2024,"$1,090,000"
85,Single Family Residence,"$14,196",1972 sqft,Yes,"$1,871",R2868879,,Residential,1929,,"14200 Marine Dr, White Rock, BC",1,3,0,07/04/2024,"$3,690,000"
86,Apartment/Condominium,"$3,469",985 sqft,Yes,"$1,218",R2868081,,Residential,2020,,"1104 - 15165 Thrift Ave, White Rock, BC",2,2,2,07/04/2024,"$1,199,800"
87,Single Family Residence,"$16,508",5848 sqft,Yes,"$1,025",R2869489,,Residential,2023,,"1349 Anderson St, White Rock, BC",6,7,10,08/04/2024,"$5,999,000"
88,Single Family Residence,"$12,276",6594 sqft,Yes,$606,R2858027,,Residential,2017,,"1265 Stayte Rd, White Rock, BC",6,7,6,10/03/2024,"$3,999,000"
89,Single Family Residence,"$19,953",9518 sqft,Yes,$628,R2859179,,Residential,2009,,"14480 Magdalen Cres, White Rock, BC",7,6,13,13/03/2024,"$5,980,000"
90,Apartment/Condominium,"$2,018",1152 sqft,Yes,$494,R2856299,,Residential,1988,,"506 - 15111 Russell Ave, White Rock, BC",2,2,1,05/03/2024,"$569,900"
91,Single Family Residence,"$13,319",2368 sqft,No,"$1,891",R2853088,,Residential,9999,,"14507 Sunset Dr, White Rock, BC",2,4,4,25/02/2024,"$4,480,000"
92,Apartment/Condominium,"$4,427",1245 sqft,Yes,"$1,082",R2852616,,Residential,2022,,"406 - 1500 Martin St, White Rock, BC",2,2,2,22/02/2024,"$1,348,000"
93,Single Family Residence,"$6,739",1387 sqft,Yes,"$1,189",R2859320,,Residential,1963,,"15530 Thrift Ave, White Rock, BC",1,3,3,13/03/2024,"$1,649,989"
94,Single Family Residence,"$11,796",3363 sqft,No,"$1,248",R2859866,,Residential,1964,,"14371 Sunset Dr, White Rock, BC",3,5,6,14/03/2024,"$4,198,000"
95,Apartment/Condominium,"$5,718",1471 sqft,Yes,$917,R2851511,,Residential,2007,,"903 - 14824 N Bluff Rd, White Rock, BC",2,2,2,20/02/2024,"$1,350,000"
