,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
13,Townhouse,"$2,320",1506 sqft,Yes,$577,R2905676,,Residential,1991,,"328 - 8300 General Currie Rd, Richmond, BC",2,4,1,14/07/2024,"$869,000"
14,Single Family Residence,"$6,662",2768 sqft,Yes,"$1,044",R2905590,,Residential,1972,,"10731 Blundell Rd, Richmond, BC",0,6,6,14/07/2024,"$2,890,000"
15,Apartment/Condominium,"$1,391",625 sqft,Yes,$799,R2905975,,Residential,1996,,"210 - 5900 Dover Cres, Richmond, BC",1,1,1,14/07/2024,"$499,900"
16,Townhouse,"$3,263",1478 sqft,Yes,$743,R2905409,,Residential,2010,,"7 - 7840 Garden City Rd, Richmond, BC",2,3,2,11/07/2024,"$1,099,000"
17,Single Family Residence,"$6,452",3410 sqft,Yes,$694,R2905639,,Residential,1993,,"8731 Saunders Rd, Richmond, BC",4,5,4,11/07/2024,"$2,368,000"
18,Single Family Residence,"$4,220",2201 sqft,Yes,$726,R2905885,,Residential,1994,,"22600 Rathburn Dr, Richmond, BC",2,5,3,11/07/2024,"$1,599,000"
19,Single Family Residence,"$8,103",3531 sqft,Yes,$931,R2905265,,Residential,2003,,"9900 Greenlees Rd, Richmond, BC",5,5,7,11/07/2024,"$3,288,000"
20,Single Family Residence,"$4,141",1924 sqft,Yes,$742,R2905180,,Residential,1978,,"9811 Gilbert Cres, Richmond, BC",2,4,1,11/07/2024,"$1,429,000"
21,Townhouse,"$3,859",1306 sqft,Yes,$987,R2905394,,Residential,2022,,"1 - 9680 Williams Rd, Richmond, BC",2,3,2,11/07/2024,"$1,290,000"
22,Apartment/Condominium,"$1,944",871 sqft,Yes,$861,R2904718,,Residential,2007,,"601 - 7535 Alderbridge Way, Richmond, BC",2,2,1,10/07/2024,"$750,000"
23,Townhouse,"$3,292",1455 sqft,Yes,$890,R2905325,,Residential,2013,,"38 - 12351 No 2 Rd, Richmond, BC",2,3,3,11/07/2024,"$1,295,000"
24,Apartment/Condominium,"$1,534",769 sqft,Yes,$687,R2904450,,Residential,1989,,"309 - 7600 Francis Rd, Richmond, BC",1,1,1,09/07/2024,"$529,000"
25,Apartment/Condominium,"$3,207",1087 sqft,Yes,"$1,011",R2904260,,Residential,2015,,"1802 - 9099 Cook Rd, Richmond, BC",2,3,2,09/07/2024,"$1,099,000"
26,Townhouse,"$4,147",1615 sqft,No,$928,R2905661,,Residential,2016,,"1 - 4160 Garry St, Richmond, BC",2,3,2,09/07/2024,"$1,499,000"
27,Apartment/Condominium,"$1,938",838 sqft,Yes,$894,R2904322,,Residential,2011,,"409 - 9399 Tomicki Ave, Richmond, BC",2,2,1,09/07/2024,"$750,000"
28,Apartment/Condominium,,1073 sqft,No,$302,R2905077,,Residential,1973,,"256 - 8131 Ryan Rd, Richmond, BC",1,3,1,09/07/2024,"$325,000"
29,Apartment/Condominium,$1,569 sqft,Yes,"$1,279",R2904784,,Residential,2024,,"507 - 6655 Buswell St, Richmond, BC",1,1,1,09/07/2024,"$728,000"
30,Apartment/Condominium,"$2,477",1093 sqft,Yes,$988,R2904355,,Residential,2012,,"312 - 6733 Buswell St, Richmond, BC",2,2,1,09/07/2024,"$1,080,000"
31,Single Family Residence,"$4,746",2069 sqft,Yes,$917,R2904541,,Residential,1960,,"4271 Dallyn Rd, Richmond, BC",2,4,3,09/07/2024,"$1,898,888"
32,Apartment/Condominium,"$2,001",547 sqft,Yes,"$1,223",R2903558,,Residential,2022,,"1007 - 8133 Cook Rd, Richmond, BC",1,2,1,08/07/2024,"$669,000"
33,Single Family Residence,"$8,475",3605 sqft,Yes,$912,R2903941,,Residential,2012,,"8151 Lucerne Rd, Richmond, BC",5,5,6,08/07/2024,"$3,288,000"
34,Townhouse,"$4,680",1807 sqft,Yes,"$1,017",R2903822,,Residential,2022,,"11 - 5651 Steveston Highway, Richmond, BC",3,4,2,08/07/2024,"$1,838,000"
35,Apartment/Condominium,"$2,785",1124 sqft,Yes,$918,R2903571,,Residential,2019,,"328 - 9551 Alexandra Rd, Richmond, BC",2,3,1,08/07/2024,"$1,032,800"
36,Apartment/Condominium,"$2,523",920 sqft,No,"$1,009",R2904100,,Residential,2020,,"410 - 6900 Pearson Way, Richmond, BC",2,2,1,08/07/2024,"$928,800"
37,Townhouse,"$3,083",1324 sqft,Yes,$874,R2904436,,Residential,1993,,"51 - 10080 Kilby Dr, Richmond, BC",2,3,2,08/07/2024,"$1,158,000"
38,Apartment/Condominium,"$2,541",957 sqft,Yes,$924,R2904544,,Residential,2017,,"906 - 7688 Alderbridge Way, Richmond, BC",2,2,2,08/07/2024,"$885,000"
39,Single Family Residence,"$4,850",1951 sqft,No,$870,R2903547,,Residential,1976,,"11520 Pintail Dr, Richmond, BC",2,4,3,08/07/2024,"$1,698,000"
40,Apartment/Condominium,"$3,245",1288 sqft,Yes,"$1,106",R2903810,,Residential,1995,,"415 - 5880 Dover Cres, Richmond, BC",2,3,2,07/07/2024,"$1,425,000"
41,Townhouse,"$3,044",1321 sqft,No,$680,R2903600,,Residential,2006,,"4 - 8171 No. 2 Rd, Richmond, BC",2,3,2,07/07/2024,"$899,000"
42,Apartment/Condominium,"$2,151",841 sqft,Yes,$950,R2903881,,Residential,2012,,"1007 - 8333 Anderson Rd, Richmond, BC",2,2,1,07/07/2024,"$799,000"
43,Apartment/Condominium,"$1,678",690 sqft,Yes,$800,R2903169,,Residential,1995,,"121 - 5900 Dover Cres, Richmond, BC",1,1,1,07/07/2024,"$552,000"
44,Apartment/Condominium,"$1,732",571 sqft,Yes,"$1,101",R2903155,,Residential,2020,,"508 - 3300 Ketcheson Rd, Richmond, BC",1,1,1,07/07/2024,"$629,000"
45,Apartment/Condominium,"$2,631",1234 sqft,Yes,$800,R2903317,,Residential,2018,,"310 - 10177 River Dr, Richmond, BC",2,3,2,07/07/2024,"$988,000"
46,Apartment/Condominium,"$3,001",984 sqft,Yes,"$1,085",R2903225,,Residential,2021,,"605 - 8160 Mcmyn Way, Richmond, BC",2,2,1,07/07/2024,"$1,067,900"
47,Single Family Residence,"$4,229",2778 sqft,Yes,$680,R2903339,,Residential,1985,,"10600 Athabasca Dr, Richmond, BC",2,4,0,07/07/2024,"$1,890,000"
48,Apartment/Condominium,"$3,193",1073 sqft,Yes,"$1,060",R2904089,,Residential,2021,,"610 - 8160 Mcmyn Way, Richmond, BC",2,2,0,07/07/2024,"$1,137,900"
49,Multi Family,"$4,951",1777 sqft,Yes,"$1,007",R2903046,,Residential,2020,,"5666 Williams Rd, Richmond, BC",2,4,2,07/07/2024,"$1,790,000"
50,Apartment/Condominium,"$1,580",766 sqft,Yes,$868,R2902857,,Residential,2014,,"209 - 10033 River Dr, Richmond, BC",2,2,1,07/07/2024,"$664,999"
51,Apartment/Condominium,"$1,889",888 sqft,Yes,$844,R2903306,,Residential,2003,,"720 - 7831 Westminster Highway, Richmond, BC",2,2,1,07/07/2024,"$749,900"
52,Townhouse,"$3,490",1335 sqft,Yes,$973,R2903461,,Residential,2017,,"30 - 9680 Alexandra Rd, Richmond, BC",2,3,2,07/07/2024,"$1,299,999"
53,Apartment/Condominium,"$2,855",960 sqft,Yes,"$1,008",R2902965,,Residential,2017,,"1702 - 8333 Sweet Ave, Richmond, BC",2,2,2,07/07/2024,"$968,000"
54,Apartment/Condominium,,689 sqft,No,$359,R2903144,,Residential,1974,,"304 - 7220 Lindsay Rd, Richmond, BC",1,1,1,07/07/2024,"$248,000"
55,Single Family Residence,"$5,157",2414 sqft,Yes,$745,R2902956,,Residential,2016,,"3491 Scratchley Cres, Richmond, BC",3,4,4,07/07/2024,"$1,799,000"
56,Apartment/Condominium,"$2,024",730 sqft,Yes,$958,R2903974,,Residential,2015,,"603 - 9311 Alexandra Rd, Richmond, BC",1,2,2,07/07/2024,"$699,999"
57,Single Family Residence,"$9,173",6461 sqft,Yes,$587,R2903455,,Residential,1987,,"7151 No. 5 Rd, Richmond, BC",9,10,20,07/07/2024,"$3,799,000"
58,Apartment/Condominium,"$1,195",798 sqft,Yes,$650,R2903578,,Residential,1978,,"211 - 11240 Daniels Rd, Richmond, BC",1,1,1,07/07/2024,"$519,000"
59,Single Family Residence,"$6,291",1041 sqft,No,"$4,802",R2903433,,Residential,1954,,"5191 Moncton St, Richmond, BC",1,3,4,07/07/2024,"$4,999,900"
60,Apartment/Condominium,"$1,480",580 sqft,Yes,$860,R2903720,,Residential,2010,,"302 - 6611 Eckersley Rd, Richmond, BC",1,1,0,07/07/2024,"$499,000"
61,Apartment/Condominium,"$3,565",1082 sqft,Yes,"$1,231",R2903923,,Residential,2022,,"1500 - 8155 Capstan Way, Richmond, BC",3,3,0,07/07/2024,"$1,332,900"
62,Apartment/Condominium,"$2,125",875 sqft,Yes,$913,R2904102,,Residential,2010,,"601 - 8033 Saba Rd, Richmond, BC",2,2,1,07/07/2024,"$799,000"
63,Apartment/Condominium,"$3,251",1201 sqft,Yes,$989,R2903131,,Residential,2013,,"903 - 5199 Brighouse Way, Richmond, BC",2,2,1,07/07/2024,"$1,188,000"
64,Single Family Residence,"$5,995",3430 sqft,Yes,"$1,048",R2902308,,Residential,2023,,"5466 Maple Rd, Richmond, BC",5,5,2,03/07/2024,"$3,598,000"
65,Apartment/Condominium,"$2,401",851 sqft,Yes,$997,R2902370,,Residential,2018,,"716 - 3333 Brown Rd, Richmond, BC",2,2,1,03/07/2024,"$849,000"
66,Townhouse,"$3,522",1447 sqft,Yes,$867,R2902183,,Residential,2006,,"11 - 8660 No. 3 Rd, Richmond, BC",2,4,2,03/07/2024,"$1,255,000"
67,Apartment/Condominium,"$1,967",822 sqft,No,$863,R2902005,,Residential,2007,,"908 - 7555 Alderbridge Way, Richmond, BC",2,2,1,03/07/2024,"$710,000"
68,Apartment/Condominium,"$1,615",988 sqft,Yes,$646,R2902153,,Residential,1982,,"708 - 7100 Gilbert Rd, Richmond, BC",1,2,1,03/07/2024,"$639,000"
69,Apartment/Condominium,"$2,778",1193 sqft,Yes,"$1,134",R2902331,,Residential,2022,,"808 - 8155 Capstan Way, Richmond, BC",3,3,2,03/07/2024,"$1,353,900"
70,Apartment/Condominium,"$1,222",668 sqft,Yes,$703,R2901927,,Residential,1992,,"219 - 7700 St. Albans Rd, Richmond, BC",1,1,1,03/07/2024,"$469,680"
71,Single Family Residence,"$6,400",3041 sqft,Yes,$798,R2901978,,Residential,1995,,"5511 Cantrell Rd, Richmond, BC",4,5,4,03/07/2024,"$2,428,000"
72,Single Family Residence,"$3,730",1494 sqft,Yes,$883,R2901694,,Residential,1984,,"10660 Alexis Crt, Richmond, BC",2,3,4,02/07/2024,"$1,320,000"
73,Single Family Residence,"$5,606",1748 sqft,No,$937,R2901664,,Residential,1959,,"5251 Calderwood Cres, Richmond, BC",2,3,4,02/07/2024,"$1,638,000"
74,Apartment/Condominium,"$2,162",601 sqft,Yes,"$1,163",R2901797,,Residential,2022,,"900 - 8155 Capstan Way, Richmond, BC",1,1,1,02/07/2024,"$699,000"
75,Apartment/Condominium,"$3,941",1631 sqft,Yes,$950,R2902023,,Residential,2013,,"508 - 5177 Brighouse Way, Richmond, BC",2,2,2,03/07/2024,"$1,550,000"
76,Townhouse,,1150 sqft,No,"$1,004",R2901710,,Residential,2024,,"103-104 - 9000 No. 3 Rd, Richmond, BC",2,2,1,03/07/2024,"$1,155,500"
77,Townhouse,"$3,824",1349 sqft,Yes,$948,R2901350,,Residential,2017,,"5 - 8380 General Currie Rd, Richmond, BC",2,3,2,02/07/2024,"$1,280,000"
78,Single Family Residence,"$6,531",2747 sqft,Yes,$728,R2901627,,Residential,1994,,"6660 Livingstone Pl, Richmond, BC",4,5,4,02/07/2024,"$1,999,999"
79,Apartment/Condominium,"$1,137",727 sqft,Yes,$617,R2901620,,Residential,1982,,"203 - 8600 Ackroyd Rd, Richmond, BC",1,1,1,02/07/2024,"$449,000"
80,Apartment/Condominium,"$2,369",904 sqft,Yes,"$1,026",R2901721,,Residential,2017,,"315 - 5233 Gilbert Rd, Richmond, BC",2,2,1,01/07/2024,"$928,000"
81,Townhouse,"$3,024",1462 sqft,Yes,$820,R2901454,,Residential,1999,,"38 - 3088 Airey Dr, Richmond, BC",2,4,2,01/07/2024,"$1,199,000"
82,Apartment/Condominium,"$192,233",634 sqft,No,$354,R2902683,,Residential,1974,,"7260 Lindsay Rd, Richmond, BC",1,1,1,02/07/2024,"$225,000"
83,Apartment/Condominium,,628 sqft,Yes,$920,R2900866,,Residential,2013,,"409 - 10020 Dunoon Dr, Richmond, BC",1,1,0,01/07/2024,"$577,760"
84,Apartment/Condominium,"$2,558",1146 sqft,Yes,$749,R2901755,,Residential,2008,,"1208 - 6333 Katsura St, Richmond, BC",2,3,1,01/07/2024,"$859,000"
85,Apartment/Condominium,"$2,454",955 sqft,Yes,$836,R2901547,,Residential,2016,,"525 - 9366 Tomicki Ave, Richmond, BC",2,2,1,01/07/2024,"$799,000"
86,Apartment/Condominium,,1280 sqft,Yes,"$1,327",R2901749,,Residential,2023,,"203 - 6111 Dyke Rd, Richmond, BC",2,3,2,01/07/2024,"$1,698,800"
87,Apartment/Condominium,"$2,253",1357 sqft,Yes,$662,R2902241,,Residential,1991,,"704 - 8811 Lansdowne Rd, Richmond, BC",2,2,1,01/07/2024,"$899,000"
88,Single Family Residence,"$6,266",3030 sqft,Yes,$841,R2901089,,Residential,2006,,"10773 Lassam Rd, Richmond, BC",4,5,5,01/07/2024,"$2,550,000"
89,Single Family Residence,"$5,037",1949 sqft,Yes,$968,R2900708,,Residential,1979,,"4311 Tiffin Cres, Richmond, BC",2,3,2,01/07/2024,"$1,888,000"
90,Apartment/Condominium,"$2,701",1195 sqft,Yes,$768,R2901005,,Residential,2016,,"607 - 5311 Cedarbridge Way, Richmond, BC",2,3,2,01/07/2024,"$918,000"
91,Apartment/Condominium,"$1,464",509 sqft,Yes,"$1,041",R2900784,,Residential,2013,,"606 - 7988 Ackroyd Rd, Richmond, BC",1,1,1,01/07/2024,"$529,900"
92,Apartment/Condominium,,1975 sqft,Yes,"$1,194",R2901753,,Residential,2023,,"201 - 6111 Dyke Rd, Richmond, BC",2,3,2,01/07/2024,"$2,358,800"
93,Apartment/Condominium,"$1,585",588 sqft,Yes,$848,R2901776,,Residential,2008,,"1507 - 7362 Elmbridge Way, Richmond, BC",1,1,1,01/07/2024,"$499,000"
94,Single Family Residence,"$9,386",4364 sqft,Yes,$959,R2900871,,Residential,2017,,"4120 Westminster Highway, Richmond, BC",5,5,6,01/07/2024,"$4,187,000"
95,Single Family Residence,"$5,654",2625 sqft,Yes,$719,R2901732,,Residential,1997,,"5068 Woodwards Rd, Richmond, BC",4,5,2,01/07/2024,"$1,888,888"
96,Apartment/Condominium,"$2,084",851 sqft,Yes,$821,R2901622,,Residential,2010,,"1702 - 3333 Corvette Way, Richmond, BC",2,2,1,29/06/2024,"$699,000"
97,Apartment/Condominium,"$2,040",805 sqft,Yes,"$1,018",R2901203,,Residential,2014,,"607 - 6951 Elmbridge Way, Richmond, BC",2,2,1,29/06/2024,"$820,000"
98,Townhouse,"$3,047",1768 sqft,Yes,$643,R2900313,,Residential,1985,,"26 - 5740 Garrison Rd, Richmond, BC",2,3,2,29/06/2024,"$1,138,000"
99,Single Family Residence,"$4,830",1200 sqft,Yes,"$1,582",R2900599,,Residential,9999,,"13331 Blundell Rd, Richmond, BC",1,3,0,30/06/2024,"$1,899,000"
100,Townhouse,"$3,554",1883 sqft,Yes,$742,R2901091,,Residential,1992,,"83 - 5531 Cornwall Dr, Richmond, BC",3,2,2,30/06/2024,"$1,399,000"
101,Townhouse,"$2,916",1288 sqft,Yes,$784,R2902089,,Residential,2011,,"23 - 10999 Steveston Highway, Richmond, BC",2,3,2,30/06/2024,"$1,010,000"
102,Single Family Residence,"$7,763",2978 sqft,Yes,$986,R2900456,,Residential,2017,,"9111 Ash St, Richmond, BC",5,5,6,30/06/2024,"$2,939,000"
103,Apartment/Condominium,,593 sqft,Yes,$910,R2900562,,Residential,2014,,"412 - 10880 No 5 Rd, Richmond, BC",1,1,2,30/06/2024,"$539,999"
104,Single Family Residence,"$4,557",2540 sqft,No,$688,R2899804,,Residential,1969,,"11671 Mellis Dr, Richmond, BC",2,4,4,26/06/2024,"$1,749,900"
105,Apartment/Condominium,"$2,584",1189 sqft,Yes,$671,R2899742,,Residential,2004,,"6407 - 5117 Garden City Rd, Richmond, BC",2,3,1,26/06/2024,"$799,000"
106,Apartment/Condominium,"$3,364",1130 sqft,Yes,$972,R2900100,,Residential,2016,,"1805 - 8833 Hazelbridge Way, Richmond, BC",2,2,2,26/06/2024,"$1,099,000"
107,Apartment/Condominium,"$1,458",948 sqft,Yes,$579,R2899683,,Residential,1982,,"313 - 8591 Westminster Highway, Richmond, BC",1,2,1,26/06/2024,"$549,800"
108,Apartment/Condominium,"$5,674",1462 sqft,Yes,$887,R2900166,,Residential,2014,,"6009 - 5511 Hollybridge Way, Richmond, BC",2,1,2,26/06/2024,"$1,298,000"
109,Single Family Residence,,3088 sqft,Yes,$809,R2899698,,Residential,2024,,"391 Catalina Cres, Richmond, BC",5,6,4,26/06/2024,"$2,499,000"
110,Single Family Residence,"$7,081",3085 sqft,Yes,$871,R2900580,,Residential,1992,,"5526 Cornwall Dr, Richmond, BC",2,3,0,26/06/2024,"$2,690,000"
111,Single Family Residence,"$4,293",2371 sqft,Yes,$669,R2899881,,Residential,1992,,"22671 Mclean Ave, Richmond, BC",3,5,4,26/06/2024,"$1,588,000"
112,Apartment/Condominium,"$2,733",965 sqft,Yes,$993,R2898726,,Residential,2018,,"1201 - 8628 Hazelbridge Way, Richmond, BC",2,2,1,24/06/2024,"$959,000"
113,Apartment/Condominium,"$1,214",877 sqft,Yes,$489,R2899344,,Residential,1976,,"302 - 9151 No. 5 Rd, Richmond, BC",1,1,1,25/06/2024,"$429,000"
114,Apartment/Condominium,"$4,543",1556 sqft,Yes,"$1,153",R2900971,,Residential,2022,,"1801 - 6833 Buswell St, Richmond, BC",3,3,1,25/06/2024,"$1,794,800"
115,Apartment/Condominium,"$1,624",742 sqft,Yes,$888,R2899257,,Residential,2003,,"804 - 7831 Westminster Highway, Richmond, BC",1,2,1,25/06/2024,"$659,000"
116,Single Family Residence,"$6,829",3699 sqft,Yes,$594,R2899356,,Residential,1978,,"7860 Penny Lane, Richmond, BC",3,5,2,25/06/2024,"$2,198,000"
117,Single Family Residence,"$6,191",2824 sqft,Yes,$672,R2899472,,Residential,1982,,"9111 Maskall Dr, Richmond, BC",2,3,4,25/06/2024,"$1,899,000"
118,Apartment/Condominium,"$12,318",2820 sqft,Yes,"$1,769",R2899300,,Residential,2021,,"1205 - 6688 Pearson Way, Richmond, BC",4,4,5,25/06/2024,"$4,988,888"
119,Apartment/Condominium,"$2,325",661 sqft,Yes,"$1,269",R2899597,,Residential,2018,,"204 - 6633 Pearson Way, Richmond, BC",1,1,0,25/06/2024,"$839,000"
120,Townhouse,"$5,111",2209 sqft,Yes,$782,R2898226,,Residential,1995,,"43 - 3555 Westminster Highway, Richmond, BC",2,3,2,23/06/2024,"$1,729,000"
121,Apartment/Condominium,"$4,203",1360 sqft,Yes,"$1,160",R2898446,,Residential,2021,,"307 - 6622 Pearson Way, Richmond, BC",2,3,2,23/06/2024,"$1,578,000"
122,Townhouse,"$3,111",1866 sqft,Yes,$642,R2898137,,Residential,1990,,"22 - 8291 General Currie Rd, Richmond, BC",2,3,2,23/06/2024,"$1,199,000"
123,Apartment/Condominium,"$2,381",923 sqft,Yes,$902,R2898613,,Residential,2020,,"227 - 4033 May Dr, Richmond, BC",2,2,2,23/06/2024,"$833,000"
124,Townhouse,"$2,065",1322 sqft,No,$671,R2898128,,Residential,1969,,"314 - 9411 Glendower Dr, Richmond, BC",1,3,0,23/06/2024,"$888,000"
125,Single Family Residence,"$5,530",2578 sqft,Yes,$771,R2899097,,Residential,1985,,"5591 Jaskow Dr, Richmond, BC",2,4,4,23/06/2024,"$1,988,000"
126,Apartment/Condominium,"$2,922",1133 sqft,Yes,$997,R2898356,,Residential,2016,,"306 - 8677 Capstan Way, Richmond, BC",2,3,1,23/06/2024,"$1,130,000"
127,Single Family Residence,"$7,282",3050 sqft,Yes,$904,R2898201,,Residential,2012,,"6140 Mara Cres, Richmond, BC",5,4,4,23/06/2024,"$2,760,000"
128,Townhouse,,1291 sqft,Yes,$958,R2897912,,Residential,2024,,"4 - 3033 Shell Rd, Richmond, BC",3,3,2,20/06/2024,"$1,238,000"
129,Townhouse,"$3,408",1711 sqft,Yes,$781,R2897750,,Residential,1994,,"4 - 8071 Garden City Rd, Richmond, BC",2,3,2,20/06/2024,"$1,338,000"
130,Single Family Residence,"$8,245",3801 sqft,Yes,$889,R2897966,,Residential,2017,,"6400 Nicolle Pl, Richmond, BC",5,5,4,20/06/2024,"$3,380,000"
131,Townhouse,,1291 sqft,Yes,$958,R2897916,,Residential,2024,,"8 - 3033 Shell Rd, Richmond, BC",3,3,2,20/06/2024,"$1,238,000"
132,Townhouse,"$3,309",1426 sqft,Yes,$981,R2897997,,Residential,2013,,"16 - 12351 No. 2 Rd, Richmond, BC",2,3,2,20/06/2024,"$1,399,000"
133,Single Family Residence,"$4,427",2545 sqft,Yes,$781,R2897731,,Residential,1987,,"8351 Gilbert Rd, Richmond, BC",2,5,6,20/06/2024,"$1,988,000"
134,Townhouse,,1541 sqft,Yes,$933,R2897903,,Residential,2024,,"1 - 3033 Shell Rd, Richmond, BC",3,3,2,20/06/2024,"$1,438,000"
135,Apartment/Condominium,"$1,488",966 sqft,Yes,$620,R2897937,,Residential,1973,,"314 - 8860 No. 1 Rd, Richmond, BC",1,2,1,20/06/2024,"$599,000"
136,Apartment/Condominium,"$1,252",759 sqft,Yes,$682,R2897541,,Residential,1986,,"307 - 7580 Minoru Blvd, Richmond, BC",1,1,1,18/06/2024,"$518,000"
137,Apartment/Condominium,"$2,078",921 sqft,Yes,$758,R2896786,,Residential,2009,,"211 - 9299 Tomicki Ave, Richmond, BC",2,2,1,18/06/2024,"$699,000"
138,Apartment/Condominium,"$1,519",832 sqft,Yes,$682,R2896881,,Residential,1994,,"301 - 8380 Jones Rd, Richmond, BC",1,1,1,18/06/2024,"$568,000"
139,Single Family Residence,"$5,092",1772 sqft,Yes,"$1,128",R2897177,,Residential,1964,,"8940 Fairdell Pl, Richmond, BC",2,4,6,18/06/2024,"$1,999,900"
140,Townhouse,"$3,582",1424 sqft,Yes,$841,R2897100,,Residential,2013,,"TH207 - 5177 Brighouse Way, Richmond, BC",2,2,2,18/06/2024,"$1,199,000"
141,Apartment/Condominium,"$2,910",959 sqft,Yes,"$1,136",R2897192,,Residential,2022,,"1107 - 6833 Buswell St, Richmond, BC",2,2,1,18/06/2024,"$1,089,800"
142,Apartment/Condominium,"$1,729",1096 sqft,Yes,$634,R2897316,,Residential,1990,,"109 - 5488 Arcadia Rd, Richmond, BC",2,2,1,18/06/2024,"$695,000"
143,Apartment/Condominium,"$1,586",425 sqft,Yes,"$1,317",R2897094,,Residential,2022,,"824 - 6328 No. 3 Rd, Richmond, BC",1,1,1,18/06/2024,"$560,000"
144,Apartment/Condominium,"$1,641",1193 sqft,Yes,$512,R2897363,,Residential,1974,,"805 - 6631 Minoru Blvd, Richmond, BC",2,2,1,17/06/2024,"$612,000"
145,Apartment/Condominium,"$3,484",1284 sqft,Yes,$933,R2896223,,Residential,2015,,"1801 - 7888 Ackroyd Rd, Richmond, BC",2,2,2,17/06/2024,"$1,198,000"
146,Townhouse,"$4,069",1708 sqft,Yes,$878,R2896605,,Residential,2006,,"5 - 12311 No. 2 Rd, Richmond, BC",2,4,2,17/06/2024,"$1,500,000"
147,Apartment/Condominium,"$2,081",926 sqft,Yes,$816,R2896059,,Residential,2009,,"432 - 9288 Odlin Rd, Richmond, BC",2,2,2,17/06/2024,"$755,999"
148,Apartment/Condominium,"$3,664",1423 sqft,Yes,"$1,018",R2896922,,Residential,2013,,"809 - 5199 Brighouse Way, Richmond, BC",3,2,2,17/06/2024,"$1,450,000"
149,Apartment/Condominium,,721 sqft,Yes,"$1,201",R2896936,,Residential,2026,,"608 - 3398 Ketcheson Rd, Richmond, BC",1,2,1,17/06/2024,"$866,000"
150,Single Family Residence,"$8,283",3757 sqft,No,$979,R2896436,,Residential,2015,,"9800 Saunders Rd, Richmond, BC",5,5,7,17/06/2024,"$3,680,000"
151,Apartment/Condominium,"$2,654",837 sqft,Yes,"$1,248",R2896414,,Residential,2022,,"316 - 8133 Cook Rd, Richmond, BC",2,2,1,17/06/2024,"$1,045,000"
152,Single Family Residence,"$10,209",3947 sqft,Yes,$860,R2896047,,Residential,2015,,"8160 Gilbert Rd, Richmond, BC",5,5,0,16/06/2024,"$3,398,000"
153,Single Family Residence,"$6,784",3888 sqft,Yes,$686,R2896379,,Residential,2002,,"10031 Leonard Rd, Richmond, BC",4,5,8,16/06/2024,"$2,668,000"
154,Townhouse,"$3,012",1242 sqft,Yes,$950,R2895698,,Residential,2016,,"6 - 7011 Williams Rd, Richmond, BC",2,3,2,16/06/2024,"$1,179,999"
155,Apartment/Condominium,"$2,278",1206 sqft,Yes,$736,R2895253,,Residential,1998,,"501 - 7760 Granville Ave, Richmond, BC",2,2,1,16/06/2024,"$888,800"
