,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
24,Townhouse,"$3,173",1521 sqft,Yes,$623,R2901458,,Residential,2016,,"25 - 5550 Admiral Way, Delta, BC",2,3,2,02/07/2024,"$949,000"
25,Apartment/Condominium,"$1,900",869 sqft,Yes,$666,R2902283,,Residential,2019,,"501 - 9015 120 St, Delta, BC",1,2,1,01/07/2024,"$579,000"
26,Apartment/Condominium,"$2,142",821 sqft,Yes,$822,R2901744,,Residential,2017,,"2701 - 11967 80 Ave, Delta, BC",2,2,1,02/07/2024,"$675,000"
27,Single Family Residence,"$4,420",2303 sqft,Yes,$705,R2902745,,Residential,1971,,"10834 84 Ave, Delta, BC",2,4,4,02/07/2024,"$1,625,000"
28,Single Family Residence,"$6,514",3658 sqft,Yes,$508,R2902531,,Residential,1989,,"345 Rosehill Wynd, Delta, BC",3,4,4,01/07/2024,"$1,860,000"
29,Single Family Residence,"$4,889",2564 sqft,Yes,$541,R2900401,,Residential,1960,,"5635 10 Ave, Delta, BC",3,2,0,02/07/2024,"$1,388,888"
30,Apartment/Condominium,"$2,370",914 sqft,Yes,$760,R2900952,,Residential,2021,,"106 - 4686 51 St, Delta, BC",1,1,1,01/07/2024,"$695,000"
31,Townhouse,"$2,482",1383 sqft,Yes,$577,R2902273,,Residential,2019,,"103 - 9015 120 St, Delta, BC",2,2,2,01/07/2024,"$799,000"
32,Townhouse,"$2,761",1405 sqft,No,$597,R2900135,,Residential,1998,,"6 - 4787 57 St, Delta, BC",2,3,2,27/06/2024,"$839,900"
33,Single Family Residence,"$4,329",1826 sqft,Yes,$766,R2900091,,Residential,1969,,"4352 49 St, Delta, BC",2,3,5,27/06/2024,"$1,399,000"
34,Single Family Residence,"$4,345",1733 sqft,No,$772,R2900355,,Residential,1969,,"5499 Chestnut Cres, Delta, BC",2,3,3,30/06/2024,"$1,338,000"
35,Townhouse,,1946 sqft,Yes,$754,R2901064,,Residential,2024,,"62 - 5311 Admiral Way, Delta, BC",3,4,2,28/06/2024,"$1,468,000"
36,Single Family Residence,"$4,400",1545 sqft,No,$906,R2899485,,Residential,1980,,"10381 Main St, Delta, BC",3,5,6,30/06/2024,"$1,399,999"
37,Single Family Residence,"$4,539",2058 sqft,Yes,$631,R2901652,,Residential,1973,,"11498 79 Ave, Delta, BC",2,5,4,30/06/2024,"$1,299,000"
38,Single Family Residence,"$4,813",2628 sqft,Yes,$608,R2900189,,Residential,2018,,"4a & 4b 4915 Central Ave, Delta, BC",5,7,3,28/06/2024,"$1,599,000"
39,Single Family Residence,"$4,588",1326 sqft,No,$941,R2900366,,Residential,1970,,"656 Gilchrist Dr, Delta, BC",1,2,1,30/06/2024,"$1,249,000"
40,Townhouse,"$2,904",1658 sqft,Yes,$783,R2898628,,Residential,2005,,"15 - 6105 River Rd, Delta, BC",2,2,4,23/06/2024,"$1,299,000"
41,Townhouse,"$3,128",1575 sqft,No,$631,R2898656,,Residential,1996,,"16 - 4748 54a St, Delta, BC",2,3,2,23/06/2024,"$995,000"
42,Single Family Residence,"$4,620",2285 sqft,Yes,$642,R2897507,,Residential,1968,,"11908 Chalmers Pl, Delta, BC",2,5,6,23/06/2024,"$1,469,000"
43,Single Family Residence,"$4,243",2951 sqft,No,$541,R2898100,,Residential,1973,,"10955 Monroe Dr, Delta, BC",4,6,4,23/06/2024,"$1,599,000"
44,Apartment/Condominium,"$1,693",605 sqft,Yes,$909,R2898253,,Residential,2022,,"108 - 6960 Nicholson Rd, Delta, BC",1,1,1,23/06/2024,"$550,000"
45,Single Family Residence,"$4,666",2210 sqft,Yes,$723,R2898526,,Residential,1982,,"11751 Cascade Dr, Delta, BC",2,4,6,23/06/2024,"$1,599,000"
46,Single Family Residence,"$4,540",2600 sqft,Yes,$576,R2898890,,Residential,1988,,"11560 71 Ave, Delta, BC",3,5,8,24/06/2024,"$1,499,888"
47,Single Family Residence,"$4,567",2164 sqft,Yes,$660,R2899101,,Residential,1971,,"11532 85 Ave, Delta, BC",3,4,6,24/06/2024,"$1,429,879"
48,Single Family Residence,"$3,438",1959 sqft,Yes,$663,R2897474,,Residential,1972,,"8290 Sheaves Rd, Delta, BC",2,4,5,19/06/2024,"$1,300,000"
49,Townhouse,"$2,737",1600 sqft,Yes,$561,R2897464,,Residential,2000,,"4 - 11530 84 Ave, Delta, BC",2,3,2,19/06/2024,"$899,000"
50,Apartment/Condominium,"$1,860",567 sqft,Yes,$984,R2897747,,Residential,2018,,"307 - 5011 Springs Blvd, Delta, BC",1,1,1,19/06/2024,"$558,000"
51,Single Family Residence,"$5,967",2846 sqft,Yes,$768,R2897209,,Residential,1982,,"6601 Hyland Pl, Delta, BC",4,5,0,19/06/2024,"$2,188,000"
52,Single Family Residence,"$4,652",2284 sqft,Yes,$656,R2898014,,Residential,1972,,"7158 114 A St, Delta, BC",3,7,5,19/06/2024,"$1,499,880"
53,Single Family Residence,"$7,499",5506 sqft,Yes,$517,R2898906,,Residential,2013,,"11323 82a Ave, Delta, BC",7,7,8,19/06/2024,"$2,848,888"
54,Apartment/Condominium,"$4,261",1645 sqft,Yes,$880,R2897396,,Residential,2018,,"112 - 5011 Springs Blvd, Delta, BC",2,2,2,19/06/2024,"$1,449,000"
55,Single Family Residence,"$3,152",1404 sqft,Yes,$774,R2897849,,Residential,1980,,"8370 Sheaves Rd, Delta, BC",1,3,1,19/06/2024,"$1,088,000"
56,Apartment/Condominium,"$1,537",640 sqft,Yes,$781,R2896068,,Residential,2019,,"410 - 9015 120 St, Delta, BC",1,1,1,17/06/2024,"$499,900"
57,Single Family Residence,"$4,651",1164 sqft,No,"$1,545",R2896290,,Residential,1951,,"4628 53 St, Delta, BC",1,2,3,17/06/2024,"$1,799,000"
58,Single Family Residence,"$7,938",3721 sqft,Yes,$967,R2896464,,Residential,2009,,"66 66a St, Delta, BC",4,5,6,17/06/2024,"$3,599,900"
59,Single Family Residence,"$3,827",1998 sqft,Yes,$575,R2896939,,Residential,1988,,"10238 Sheaves Crt, Delta, BC",2,5,4,17/06/2024,"$1,150,000"
60,Single Family Residence,"$4,455",2138 sqft,No,$643,R2896078,,Residential,1973,,"7851 116 St, Delta, BC",2,6,4,17/06/2024,"$1,374,900"
61,Apartment/Condominium,"$2,725",1074 sqft,Yes,$805,R2896216,,Residential,2016,,"313 - 1166 54 A St, Delta, BC",2,2,2,17/06/2024,"$865,000"
62,Townhouse,"$2,449",1363 sqft,Yes,$586,R2895631,,Residential,1976,,"109 - 5421 10 Ave, Delta, BC",1,2,1,16/06/2024,"$799,999"
63,Single Family Residence,"$4,631",2113 sqft,Yes,$851,R2894570,,Residential,1993,,"1641 53a St, Delta, BC",2,4,6,12/06/2024,"$1,798,800"
64,Apartment/Condominium,"$2,205",787 sqft,Yes,$824,R2894093,,Residential,2017,,"2706 - 11967 80 Ave, Delta, BC",2,2,1,11/06/2024,"$649,000"
65,Single Family Residence,"$5,717",3866 sqft,No,$542,R2896443,,Residential,2012,,"8162 116 St, Delta, BC",5,7,0,12/06/2024,"$2,099,000"
66,Single Family Residence,"$4,467",2112 sqft,Yes,$710,R2894483,,Residential,1993,,"1645 Golf Club Dr, Delta, BC",2,3,4,12/06/2024,"$1,499,888"
67,Single Family Residence,"$4,635",2490 sqft,Yes,$638,R2895254,,Residential,1987,,"5033 Mariner Pl, Delta, BC",3,4,4,12/06/2024,"$1,588,800"
68,Single Family Residence,"$5,325",2677 sqft,Yes,$910,R2895357,,Residential,1966,,"5441 7b Ave, Delta, BC",4,4,5,11/06/2024,"$2,438,000"
69,Single Family Residence,"$4,455",2007 sqft,No,$721,R2894444,,Residential,1980,,"11098 Prospect Dr, Delta, BC",3,4,3,12/06/2024,"$1,449,000"
70,Single Family Residence,"$3,884",3473 sqft,Yes,$748,R2894535,,Residential,2024,,"5744 16a Ave, Delta, BC",5,5,6,11/06/2024,"$2,599,000"
71,Apartment/Condominium,"$1,847",881 sqft,Yes,$702,R2892685,,Residential,1994,,"104 - 5556 14 Ave, Delta, BC",2,2,1,09/06/2024,"$619,000"
72,Apartment/Condominium,"$2,406",1271 sqft,Yes,$565,R2892478,,Residential,1990,,"308 - 4955 River Rd, Delta, BC",2,2,1,09/06/2024,"$718,800"
73,Single Family Residence,"$4,499",2926 sqft,Yes,$566,R2893521,,Residential,1987,,"4431 50a St, Delta, BC",2,6,4,09/06/2024,"$1,659,000"
74,Single Family Residence,"$4,747",2460 sqft,Yes,$589,R2892777,,Residential,1972,,"4426 52a St, Delta, BC",2,4,6,09/06/2024,"$1,449,000"
75,Single Family Residence,"$6,664",3252 sqft,Yes,$765,R2893279,,Residential,1972,,"5136 1a Ave, Delta, BC",3,4,5,09/06/2024,"$2,489,000"
76,Apartment/Condominium,"$3,702",1750 sqft,Yes,$628,R2892550,,Residential,1996,,"B403 - 1248 Hunter Rd, Delta, BC",2,3,2,09/06/2024,"$1,100,000"
77,Townhouse,"$3,057",1385 sqft,Yes,$677,R2893547,,Residential,2009,,"26 - 8385 Delsom Way, Delta, BC",2,3,3,09/06/2024,"$939,000"
78,Single Family Residence,"$4,087",3069 sqft,Yes,$618,R2892540,,Residential,2023,,"8177 114 St, Delta, BC",5,7,6,09/06/2024,"$1,899,000"
79,Single Family Residence,"$4,536",1996 sqft,Yes,$700,R2890085,,Residential,1972,,"11499 79 Ave, Delta, BC",1,4,5,02/06/2024,"$1,398,000"
80,Single Family Residence,"$4,790",3171 sqft,Yes,$535,R2889918,,Residential,1981,,"11775 Chateau Wynd, Delta, BC",3,6,4,03/06/2024,"$1,698,000"
81,Single Family Residence,"$4,158",1904 sqft,No,$762,R2890039,,Residential,1958,,"8824 Russell Dr, Delta, BC",2,5,0,31/05/2024,"$1,450,999"
82,Townhouse,"$3,235",1563 sqft,Yes,$582,R2890843,,Residential,2016,,"4897 47 A Ave, Delta, BC",2,3,2,03/06/2024,"$910,000"
83,Single Family Residence,"$4,602",2428 sqft,Yes,"$1,066",R2889592,,Residential,2024,,"1616 Braid Rd, Delta, BC",3,5,4,02/06/2024,"$2,588,888"
84,Apartment/Condominium,"$2,474",1784 sqft,Yes,$532,R2890826,,Residential,1981,,"103 - 1350 View Cres, Delta, BC",2,2,2,03/06/2024,"$949,900"
85,Single Family Residence,"$4,134",2513 sqft,No,$576,R2889151,,Residential,1988,,"11142 90 Ave, Delta, BC",3,6,4,02/06/2024,"$1,450,000"
86,Single Family Residence,"$4,140",2340 sqft,Yes,$646,R2889694,,Residential,1973,,"7571 Minster Dr E, Delta, BC",3,5,5,03/06/2024,"$1,513,000"
87,Single Family Residence,"$4,433",1456 sqft,Yes,$960,R2887983,,Residential,2009,,"8873 112 St, Delta, BC",2,3,0,26/05/2024,"$1,399,000"
88,Apartment/Condominium,"$2,745",1048 sqft,Yes,$771,R2887230,,Residential,2014,,"511 - 5055 Springs Blvd, Delta, BC",1,1,1,26/05/2024,"$809,000"
89,Single Family Residence,"$4,049",2376 sqft,No,$588,R2886995,,Residential,1971,,"9097 112 St, Delta, BC",2,4,5,24/05/2024,"$1,398,000"
90,Townhouse,"$3,648",2079 sqft,Yes,$601,R2887254,,Residential,2012,,"92 - 10489 Delsom Cres, Delta, BC",3,4,4,26/05/2024,"$1,249,900"
91,Single Family Residence,"$5,550",2482 sqft,Yes,$674,R2887039,,Residential,1980,,"708 Juniper Pl, Delta, BC",2,4,6,25/05/2024,"$1,675,000"
92,Apartment/Condominium,"$2,573",1405 sqft,Yes,$640,R2887280,,Residential,1993,,"213N - 1100 56 St, Delta, BC",2,3,1,26/05/2024,"$900,000"
93,Townhouse,"$2,244",1047 sqft,No,$692,R2887616,,Residential,2011,,"203 - 4808 Linden Dr, Delta, BC",2,2,1,26/05/2024,"$725,000"
94,Single Family Residence,"$4,174",2159 sqft,Yes,$833,R2887239,,Residential,2024,,"4992 44a Ave, Delta, BC",3,4,0,26/05/2024,"$1,799,900"
95,Apartment/Condominium,"$1,691",730 sqft,Yes,$752,R2883992,,Residential,2012,,"405 - 7511 120 St, Delta, BC",1,1,1,15/05/2024,"$549,000"
96,Single Family Residence,"$5,287",2801 sqft,Yes,$606,R2884713,,Residential,1983,,"5694 Greenland Dr, Delta, BC",3,5,6,19/05/2024,"$1,699,000"
97,Single Family Residence,"$5,076",1853 sqft,Yes,$808,R2884232,,Residential,1967,,"1463 55 St, Delta, BC",2,3,6,16/05/2024,"$1,498,000"
98,Single Family Residence,"$7,038",2561 sqft,No,$995,R2886918,,Residential,1968,,"9401 Ebor Rd, Delta, BC",2,2,4,19/05/2024,"$2,550,000"
99,Single Family Residence,"$6,028",1811 sqft,No,"$1,355",R2886883,,Residential,9999,,"11120 River Rd, Delta, BC",2,4,0,19/05/2024,"$2,455,000"
100,Single Family Residence,"$4,932",2918 sqft,Yes,$582,R2884645,,Residential,2020,,"11382 80 Ave, Delta, BC",6,6,8,19/05/2024,"$1,699,900"
101,Townhouse,,2030 sqft,Yes,$713,R2886123,,Residential,2024,,"15 - 5311 Admiral Way, Delta, BC",3,4,2,16/05/2024,"$1,448,000"
102,Single Family Residence,"$7,685",5390 sqft,Yes,$549,R2884245,,Residential,2019,,"5035 Walker Ave, Delta, BC",5,6,6,16/05/2024,"$2,960,000"
103,Single Family Residence,"$6,733",2496 sqft,Yes,$997,R2882000,,Residential,2018,,"1623 Duncan Dr, Delta, BC",2,3,2,12/05/2024,"$2,489,000"
104,Single Family Residence,"$4,993",2077 sqft,Yes,$746,R2881302,,Residential,1994,,"5355 Commodore Dr, Delta, BC",2,3,4,08/05/2024,"$1,550,000"
105,Single Family Residence,"$6,934",5043 sqft,Yes,$574,R2882374,,Residential,2020,,"5483 15b Ave, Delta, BC",3,6,2,12/05/2024,"$2,899,000"
106,Single Family Residence,"$4,766",2461 sqft,Yes,$710,R2881120,,Residential,1993,,"5278 St Andrews Pl, Delta, BC",2,3,4,08/05/2024,"$1,749,000"
107,Single Family Residence,"$8,870",2538 sqft,No,"$2,196",R2882233,,Residential,1961,,"2975 53 St, Delta, BC",1,3,10,09/05/2024,"$5,575,000"
108,Single Family Residence,,3285 sqft,Yes,$608,R2881604,,Residential,2025,,"9300 Ebor Rd, Delta, BC",5,8,2,12/05/2024,"$1,999,000"
109,Single Family Residence,"$14,651",1806 sqft,No,"$2,657",R2882953,,Residential,1940,,"9525 Gunderson Rd, Delta, BC",1,2,0,12/05/2024,"$4,800,000"
110,Single Family Residence,"$5,253",1948 sqft,No,$846,R2881924,,Residential,1970,,"5115 7b Ave, Delta, BC",1,3,6,12/05/2024,"$1,649,000"
111,Single Family Residence,"$6,955",5233 sqft,Yes,$802,R2877716,,Residential,2012,,"4227 River Rd W, Delta, BC",2,3,10,30/04/2024,"$4,200,000"
112,Single Family Residence,"$4,774",2442 sqft,No,$552,R2878358,,Residential,1969,,"9293 Forest Pl, Delta, BC",2,5,5,01/05/2024,"$1,349,000"
113,Single Family Residence,"$4,598",1523 sqft,Yes,"$1,049",R2877584,,Residential,1965,,"5273 8a Ave, Delta, BC",2,3,2,30/04/2024,"$1,598,000"
114,Apartment/Condominium,"$2,678",1630 sqft,Yes,$551,R2877510,,Residential,1991,,"302 - 1140 55 St, Delta, BC",2,2,1,30/04/2024,"$899,000"
115,Single Family Residence,"$5,902",3973 sqft,Yes,$500,R2877355,,Residential,1994,,"10228 Sheaves Way, Delta, BC",4,7,0,30/04/2024,"$1,989,000"
116,Single Family Residence,"$5,355",3205 sqft,Yes,$623,R2879467,,Residential,1970,,"5156 8a Ave, Delta, BC",3,4,4,02/05/2024,"$1,999,000"
117,Single Family Residence,"$7,013",2816 sqft,Yes,$812,R2878064,,Residential,2021,,"5701 16 Ave, Delta, BC",3,4,2,30/04/2024,"$2,288,000"
118,Townhouse,"$3,993",2316 sqft,Yes,$582,R2879356,,Residential,2012,,"40 - 10489 Delsom Cres, Delta, BC",3,3,4,01/05/2024,"$1,350,000"
119,Townhouse,,1375 sqft,Yes,$981,R2872910,,Residential,2024,,"4 - 4829 48 Ave, Delta, BC",2,3,2,18/04/2024,"$1,349,000"
120,Single Family Residence,"$5,932",3860 sqft,Yes,$515,R2874199,,Residential,1978,,"5680 Goldenrod Cres, Delta, BC",3,5,4,21/04/2024,"$1,988,000"
121,Apartment/Condominium,"$2,450",1350 sqft,Yes,$643,R2874771,,Residential,1993,,"104S - 1100 56 St, Delta, BC",2,2,1,20/04/2024,"$869,000"
122,Single Family Residence,"$4,168",1952 sqft,Yes,$665,R2874036,,Residential,1978,,"9056 Collings Way, Delta, BC",2,4,6,21/04/2024,"$1,299,000"
123,Single Family Residence,,550 sqft,No,$289,R2873699,,Residential,2022,,"14 - 3350 Westham Island Rd, Delta, BC",1,1,2,20/04/2024,"$159,000"
124,Single Family Residence,"$3,635",2000 sqft,No,$941,R2874067,,Residential,1972,,"11351 72 Ave, Delta, BC",3,5,4,22/04/2024,"$1,882,000"
125,Townhouse,,2121 sqft,Yes,$706,R2872899,,Residential,2024,,"3 - 4829 48 Ave, Delta, BC",3,5,2,18/04/2024,"$1,498,000"
126,Single Family Residence,"$4,434",2955 sqft,No,$531,R2873148,,Residential,1981,,"7937 114a St, Delta, BC",4,6,4,21/04/2024,"$1,569,879"
127,Single Family Residence,"$2,440",1560 sqft,Yes,$540,R2868790,,Residential,1990,,"16 - 3473 River Rd W, Delta, BC",2,2,2,08/04/2024,"$843,000"
128,Duplex,"$4,765",2132 sqft,Yes,$984,R2869276,,Residential Income,1968,,"5733 - 5735 Crescent Dr, Delta, BC",2,6,6,08/04/2024,"$2,099,000"
129,Single Family Residence,"$4,413",1480 sqft,No,$675,R2867368,,Residential,1971,,"11873 95a Ave, Delta, BC",1,3,0,08/04/2024,"$999,000"
130,Townhouse,"$2,822",1430 sqft,Yes,$635,R2867716,,Residential,2015,,"55 - 10735 84 Ave, Delta, BC",2,3,3,09/04/2024,"$909,000"
131,Townhouse,"$3,186",1455 sqft,Yes,$686,R2868542,,Residential,2017,,"108 - 5550 Admiral Way, Delta, BC",2,3,2,08/04/2024,"$999,000"
132,Single Family Residence,"$7,057",4798 sqft,Yes,$604,R2868247,,Residential,2022,,"5093 2 Ave, Delta, BC",5,6,6,09/04/2024,"$2,899,000"
133,Single Family Residence,"$5,185",2640 sqft,No,$606,R2869529,,Residential,1967,,"4984 10a Ave, Delta, BC",2,4,4,09/04/2024,"$1,599,900"
134,Single Family Residence,"$6,222",3222 sqft,Yes,$744,R2869881,,Residential,2010,,"11665 74a Ave, Delta, BC",4,6,6,09/04/2024,"$2,398,000"
135,Apartment/Condominium,$971,710 sqft,No,$590,R2862104,,Residential,1972,,"279C - 8635 120 St, Delta, BC",1,1,1,21/03/2024,"$419,000"
136,Single Family Residence,"$6,076",3845 sqft,Yes,$537,R2860858,,Residential,2013,,"11923 92 Ave, Delta, BC",4,8,6,17/03/2024,"$2,064,800"
137,Apartment/Condominium,"$1,696",606 sqft,Yes,$823,R2861638,,Residential,2021,,"211 - 6950 Nicholson Rd, Delta, BC",1,1,1,17/03/2024,"$499,000"
138,Single Family Residence,"$11,272",2900 sqft,Yes,"$1,224",R2855778,,Residential,1989,,"58 Tsawwassen Beach Rd, Delta, BC",3,4,4,11/03/2024,"$3,550,000"
139,Single Family Residence,"$5,251",3705 sqft,Yes,$458,R2861015,,Residential,1972,,"82 52a St, Delta, BC",2,3,4,18/03/2024,"$1,699,000"
140,Single Family Residence,"$4,681",2614 sqft,Yes,$688,R2859872,,Residential,2023,,"4903a 53 St, Delta, BC",4,5,2,14/03/2024,"$1,799,900"
141,Single Family Residence,"$4,074",2340 sqft,No,$591,R2862519,,Residential,1956,,"10979 84 Ave, Delta, BC",2,5,2,24/03/2024,"$1,385,000"
142,Single Family Residence,$763,1164 sqft,No,$299,R2862582,,Residential,1989,,"4 - 3350 Westham Island Rd, Delta, BC",1,2,2,20/03/2024,"$349,000"
143,Single Family Residence,"$6,228",3059 sqft,Yes,$784,R2851952,,Residential,2017,,"5500 52 Ave, Delta, BC",4,5,0,20/02/2024,"$2,399,000"
144,Single Family Residence,"$4,678",2710 sqft,Yes,$585,R2849985,,Residential,2009,,"10302 Main St, Delta, BC",5,5,2,11/02/2024,"$1,588,000"
145,Single Family Residence,"$4,681",2680 sqft,Yes,$621,R2850800,,Residential,1973,,"7728 116a St, Delta, BC",2,5,6,19/02/2024,"$1,664,999"
146,Single Family Residence,,2090 sqft,Yes,$860,R2852401,,Residential,1970,,"11402 72a Ave, Delta, BC",3,5,6,22/02/2024,"$1,799,000"
147,Apartment/Condominium,"$1,850",1012 sqft,Yes,$538,R2851808,,Residential,1982,,"384 - 1440 Garden Pl, Delta, BC",1,2,1,20/02/2024,"$545,000"
148,Single Family Residence,"$4,439",2813 sqft,No,$603,R2849340,,Residential,1959,,"4827 44b Ave, Delta, BC",4,9,3,12/02/2024,"$1,699,000"
149,Single Family Residence,"$4,260",1926 sqft,No,$778,R2851253,,Residential,1968,,"9565 Dawson Cres, Delta, BC",2,4,4,19/02/2024,"$1,500,000"
150,Single Family Residence,"$4,055",3379 sqft,Yes,$591,R2852529,,Residential,2024,,"11798 84 Ave, Delta, BC",6,7,6,25/02/2024,"$1,999,999"
151,Single Family Residence,"$5,906",3016 sqft,Yes,$646,R2813621,,Residential,2011,,"5223 Westminster Ave, Delta, BC",4,5,5,06/09/2023,"$1,950,000"
152,Single Family Residence,"$4,132",1874 sqft,No,$933,R2812079,,Residential,1968,,"11398 88a Ave, Delta, BC",1,3,4,28/08/2023,"$1,750,000"
153,Single Family Residence,"$4,643",2289 sqft,Yes,$873,R2813001,,Residential,1971,,"7174 114a St, Delta, BC",2,3,6,07/09/2023,"$1,999,000"
154,Single Family Residence,"$9,781",3050 sqft,Yes,"$4,229",R2820540,,Residential,1965,,"3820 64 St, Delta, BC",3,5,4,29/09/2023,"$12,900,000"
155,Apartment/Condominium,"$1,444",485 sqft,Yes,"$1,030",R2818706,,Residential,2017,,"1705 - 11967 80 Ave, Delta, BC",1,1,1,04/10/2023,"$499,777"
156,Single Family Residence,"$4,120",1875 sqft,Yes,$933,R2811198,,Residential,1968,,"11414 88a Ave, Delta, BC",1,4,4,29/08/2023,"$1,750,000"
